step 15583 	 return [0.00215289 0.008793   0.00996859 0.01133613 0.0081724 ], ([0.00108413 0.00083112 0.00125885 0.00144966 0.00184797]) 	 loss 2.973E-01 	 horizons 19.0
step 15773 	 return [0.         0.00814513 0.01222974 0.01213359 0.00932556], ([0.         0.0014484  0.00073033 0.00244305 0.00237307]) 	 loss 3.006E-01 	 horizons 19.0
step 15963 	 return [0.00276136 0.0093542  0.00987806 0.01130645 0.005889  ], ([0.00021928 0.00142517 0.0007002  0.00242602 0.00114132]) 	 loss 2.998E-01 	 horizons 19.0
step 16153 	 return [0.00243317 0.00707423 0.01019622 0.01236563 0.00657412], ([0.00019659 0.00164675 0.00185319 0.0022741  0.00224748]) 	 loss 3.075E-01 	 horizons 19.0
step 16343 	 return [0.00924097 0.00427811 0.00531366 0.00386826 0.00241314], ([0.0018753  0.00049278 0.00225351 0.00295547 0.00259744]) 	 loss 2.929E-01 	 horizons 19.0
step 16533 	 return [0.         0.01059544 0.01124894 0.01310078 0.00801893], ([0.         0.00145831 0.00082969 0.00103362 0.00150169]) 	 loss 2.870E-01 	 horizons 19.0
step 16723 	 return [0.00298319 0.01008764 0.00905453 0.012143   0.00598592], ([0.00075361 0.00127674 0.00133233 0.00244518 0.00119176]) 	 loss 2.601E-01 	 horizons 19.0
step 16913 	 return [0.00027068 0.00912056 0.01075569 0.01100929 0.00963732], ([0.00081203 0.00186135 0.00163821 0.0019486  0.00158918]) 	 loss 2.579E-01 	 horizons 19.0
step 17103 	 return [0.00269004 0.00948535 0.00908258 0.01176026 0.00733225], ([0.00042078 0.0014353  0.00097481 0.00081447 0.0009254 ]) 	 loss 2.713E-01 	 horizons 19.0
step 17293 	 return [0.00238957 0.00948427 0.00984165 0.01105788 0.00807144], ([0.00081671 0.00173278 0.00131091 0.00167631 0.00174382]) 	 loss 2.225E-01 	 horizons 19.0
step 17483 	 return [0.         0.01059354 0.01175545 0.01266601 0.00867061], ([0.         0.000902   0.00100923 0.00113689 0.00141045]) 	 loss 2.537E-01 	 horizons 19.0
step 17673 	 return [0.         0.01013587 0.01173652 0.0125492  0.00778102], ([0.         0.0007145  0.00119187 0.00148755 0.00107958]) 	 loss 2.696E-01 	 horizons 19.0
step 17863 	 return [0.00228133 0.01073181 0.00896262 0.0117878  0.00761975], ([0.00120271 0.00103446 0.00200901 0.00167979 0.00140593]) 	 loss 2.728E-01 	 horizons 19.0
step 18053 	 return [0.00051108 0.01022444 0.01224764 0.01056121 0.00802659], ([0.001027   0.00155007 0.00120689 0.0019624  0.00214889]) 	 loss 2.660E-01 	 horizons 19.0
step 18243 	 return [0.         0.01188953 0.0108187  0.01362205 0.00747251], ([0.         0.00060815 0.00035746 0.0011256  0.00062453]) 	 loss 2.654E-01 	 horizons 19.0
step 18433 	 return [0.         0.00978144 0.01058679 0.01224495 0.00842719], ([0.         0.00130466 0.00169236 0.00116827 0.0016418 ]) 	 loss 2.412E-01 	 horizons 19.0
step 18623 	 return [0.         0.01021013 0.01231139 0.01145943 0.01053311], ([0.         0.00117235 0.00106832 0.00197545 0.00143086]) 	 loss 2.343E-01 	 horizons 19.0
step 18813 	 return [0.         0.00946998 0.01137543 0.01250449 0.00887377], ([0.         0.00168719 0.00177889 0.00131834 0.00188646]) 	 loss 2.370E-01 	 horizons 19.0
step 19003 	 return [0.         0.01091298 0.0129833  0.01225504 0.00910067], ([0.         0.0007701  0.00106449 0.00130649 0.00219886]) 	 loss 2.331E-01 	 horizons 19.0
step 19193 	 return [0.00482628 0.01060712 0.01132192 0.00888502 0.00880606], ([0.00158308 0.00182015 0.00152793 0.00242612 0.00193231]) 	 loss 2.288E-01 	 horizons 19.0
step 19383 	 return [0.0002298  0.00987874 0.01207353 0.01079478 0.00974344], ([0.0006894  0.00165705 0.00112332 0.00144781 0.00310271]) 	 loss 2.261E-01 	 horizons 19.0
step 19573 	 return [0.00250882 0.00983808 0.01003733 0.01109626 0.00838208], ([0.0013873  0.00120152 0.00109401 0.00172217 0.00078153]) 	 loss 2.325E-01 	 horizons 19.0
step 19763 	 return [0.         0.01101355 0.01282197 0.01206729 0.00898065], ([0.         0.0007981  0.00197764 0.00174437 0.00238064]) 	 loss 2.204E-01 	 horizons 19.0
step 19953 	 return [0.         0.01063939 0.01240753 0.01240993 0.00925396], ([0.         0.00027178 0.00098969 0.00113379 0.00168488]) 	 loss 2.080E-01 	 horizons 19.0
step 20143 	 return [0.00027906 0.01096856 0.01174607 0.01087754 0.00986371], ([0.00083718 0.00071633 0.00156268 0.00110477 0.00229001]) 	 loss 2.079E-01 	 horizons 19.0
step 20333 	 return [0.         0.00996413 0.01192219 0.01161379 0.01221146], ([0.         0.00047692 0.00088501 0.00103622 0.0016964 ]) 	 loss 2.118E-01 	 horizons 19.0
step 20523 	 return [0.         0.00975471 0.01163059 0.01256185 0.00856556], ([0.         0.000958   0.00080381 0.00067645 0.00132391]) 	 loss 2.064E-01 	 horizons 19.0
step 20713 	 return [0.00316472 0.01032915 0.01191986 0.00929035 0.01060052], ([0.00084368 0.00140926 0.00085542 0.00154544 0.00178479]) 	 loss 1.895E-01 	 horizons 19.0
step 20903 	 return [0.         0.01045572 0.01273043 0.01129558 0.01273205], ([0.         0.00055763 0.00100505 0.00115643 0.0012    ]) 	 loss 1.980E-01 	 horizons 19.0
step 21093 	 return [0.         0.01022601 0.01275873 0.01247909 0.00961052], ([0.         0.00062336 0.00133656 0.00078892 0.00138134]) 	 loss 1.873E-01 	 horizons 19.0
step 21283 	 return [0.0040404  0.01057506 0.01124808 0.01037036 0.0099219 ], ([0.00174129 0.00131179 0.0017831  0.00154005 0.00173653]) 	 loss 2.074E-01 	 horizons 19.0
step 21473 	 return [0.00027958 0.01082622 0.01199814 0.01123243 0.01186885], ([0.00083875 0.00104734 0.00099761 0.00157067 0.00134303]) 	 loss 1.879E-01 	 horizons 19.0
step 21663 	 return [0.00292436 0.00955168 0.01222478 0.0092185  0.01031919], ([6.4580607e-05 6.7267858e-04 1.4264612e-03 1.6354830e-03 1.3557590e-03]) 	 loss 1.707E-01 	 horizons 19.0
step 21853 	 return [0.00275525 0.00899961 0.01148001 0.01216    0.00942791], ([0.0002406  0.00140819 0.00064271 0.00152534 0.00213765]) 	 loss 1.634E-01 	 horizons 19.0
step 22043 	 return [0.00292959 0.00964485 0.01220136 0.01196191 0.0100434 ], ([3.4672757e-05 2.1601863e-04 2.6832297e-04 1.3906466e-03 1.2370236e-03]) 	 loss 2.233E-01 	 horizons 19.0
step 22233 	 return [0.00726151 0.00985132 0.00816213 0.01020341 0.0084595 ], ([0.00126419 0.00268046 0.00149225 0.00130673 0.0016966 ]) 	 loss 1.845E-01 	 horizons 19.0
step 22423 	 return [0.00309426 0.00971457 0.01209273 0.01119264 0.0118452 ], ([0.000408   0.00030622 0.00085609 0.00144319 0.00071718]) 	 loss 1.794E-01 	 horizons 19.0
step 22613 	 return [0.         0.01042919 0.01352807 0.01136812 0.01296842], ([0.         0.00036689 0.00083446 0.0009406  0.0009274 ]) 	 loss 1.834E-01 	 horizons 19.0
step 22803 	 return [0.00558052 0.01273538 0.01074802 0.00788158 0.00820267], ([0.00091555 0.00100018 0.0012791  0.00077614 0.00207333]) 	 loss 2.218E-01 	 horizons 19.0
step 22993 	 return [0.00325225 0.0096272  0.01209102 0.01090652 0.01086064], ([0.00127116 0.00153951 0.00150203 0.00174396 0.0030446 ]) 	 loss 1.745E-01 	 horizons 19.0
