step 9360 	 return [0.00342492 0.00518187 0.00256942 0.00216346 0.        ], ([4.6566129e-10 0.0000000e+00 2.3283064e-10 2.3283064e-10 0.0000000e+00]) 	 loss 4.982E-02 	 horizons 9.0
step 9450 	 return [0.         0.00132259 0.00632837 0.00420891 0.00590646], ([0.         0.00168306 0.00033991 0.00083652 0.00021289]) 	 loss 2.650E-02 	 horizons 9.0
step 9540 	 return [0.         0.         0.00611006 0.00521539 0.00762717], ([0.0000000e+00 0.0000000e+00 9.5587229e-06 3.7738832e-04 3.6055932e-04]) 	 loss 3.945E-02 	 horizons 9.0
step 9630 	 return [0.         0.         0.00407817 0.0015747  0.01420525], ([0.0000000e+00 0.0000000e+00 4.5309916e-05 7.4961002e-04 8.6069456e-04]) 	 loss 2.856E-02 	 horizons 9.0
step 9720 	 return [0.00316668 0.00536849 0.00242206 0.00188124 0.        ], ([0.00020674 0.00033455 0.00011196 0.00025146 0.        ]) 	 loss 2.963E-02 	 horizons 9.0
step 9810 	 return [0.00198054 0.00563769 0.00441867 0.0013168  0.        ], ([0.00062924 0.00052199 0.0006125  0.00056454 0.        ]) 	 loss 3.073E-02 	 horizons 9.0
step 9900 	 return [0.00232526 0.00633895 0.00340029 0.00204391 0.        ], ([1.7419086e-04 7.8661100e-04 5.3008070e-04 9.6076874e-05 0.0000000e+00]) 	 loss 3.284E-02 	 horizons 9.0
step 9990 	 return [0.00443974 0.00393663 0.00045978 0.00054059 0.        ], ([0.00063552 0.00012418 0.00012888 0.00037619 0.        ]) 	 loss 3.682E-02 	 horizons 9.0
step 10080 	 return [0.0033539  0.00495525 0.00245232 0.00193832 0.        ], ([0.00023256 0.00047332 0.00011701 0.00025237 0.        ]) 	 loss 3.315E-02 	 horizons 9.0
step 10170 	 return [0.00381122 0.00506301 0.00049317 0.0006516  0.        ], ([0.00054654 0.00135148 0.00010654 0.0003245  0.        ]) 	 loss 3.724E-02 	 horizons 9.0
step 10260 	 return [0.00312605 0.00535017 0.00251647 0.00208688 0.        ], ([2.0662772e-04 1.2954514e-04 7.1434522e-05 1.5324028e-04 0.0000000e+00]) 	 loss 4.080E-02 	 horizons 9.0
step 10350 	 return [0.00288803 0.00557329 0.00254964 0.00214834 0.        ], ([5.3770572e-04 5.3148676e-04 2.5855366e-05 2.4746534e-05 0.0000000e+00]) 	 loss 3.560E-02 	 horizons 9.0
step 10440 	 return [0.         0.00335127 0.00673921 0.00312277 0.00605044], ([0.         0.00111709 0.00010025 0.00017992 0.00038449]) 	 loss 4.600E-02 	 horizons 9.0
step 10530 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 3.969E-02 	 horizons 9.0
step 10620 	 return [0.         0.         0.00605276 0.00488163 0.00575939], ([0.0000000e+00 0.0000000e+00 1.2613833e-06 2.1079554e-06 5.2841940e-05]) 	 loss 4.017E-02 	 horizons 9.0
step 10710 	 return [0.0001225  0.00022734 0.0037999  0.00140841 0.01304293], ([0.0003675  0.00068201 0.00078949 0.00025073 0.00434764]) 	 loss 5.116E-02 	 horizons 9.0
step 10800 	 return [0.         0.00372364 0.00677263 0.0030628  0.0061786 ], ([0.0000000e+00 0.0000000e+00 9.3132257e-10 2.3283064e-10 4.6566129e-10]) 	 loss 4.394E-02 	 horizons 9.0
step 10890 	 return [0.00015155 0.00017771 0.00372405 0.00137225 0.01304293], ([0.00045466 0.00053314 0.00101704 0.00014228 0.00434764]) 	 loss 2.477E-02 	 horizons 9.0
step 10980 	 return [0.00406003 0.00683299 0.00035682 0.00022452 0.        ], ([1.8200604e-05 4.0680898e-04 4.0854473e-05 1.6172389e-04 0.0000000e+00]) 	 loss 2.912E-02 	 horizons 9.0
step 11070 	 return [0.00342492 0.00518187 0.00256942 0.00216346 0.        ], ([4.6566129e-10 0.0000000e+00 2.3283064e-10 2.3283064e-10 0.0000000e+00]) 	 loss 2.608E-02 	 horizons 9.0
step 11160 	 return [0.00182986 0.00638072 0.00351789 0.00202513 0.        ], ([9.2419074e-04 8.5717684e-04 4.5939212e-04 8.7946435e-05 0.0000000e+00]) 	 loss 3.229E-02 	 horizons 9.0
step 11250 	 return [0.00368061 0.00466461 0.00076434 0.00118499 0.        ], ([0.000804   0.00034262 0.00051423 0.00020778 0.        ]) 	 loss 3.372E-02 	 horizons 9.0
step 11340 	 return [0.         0.         0.0060275  0.00465057 0.00579471], ([0.         0.         0.00055577 0.00046233 0.00143048]) 	 loss 5.138E-02 	 horizons 9.0
step 11430 	 return [0.         0.00321008 0.00637294 0.00320005 0.0048436 ], ([0.         0.00169128 0.00211543 0.00097451 0.00259905]) 	 loss 4.497E-02 	 horizons 9.0
step 11520 	 return [0.         0.00372364 0.00677263 0.0030628  0.0061786 ], ([0.0000000e+00 0.0000000e+00 9.3132257e-10 2.3283064e-10 4.6566129e-10]) 	 loss 3.541E-02 	 horizons 9.0
step 11610 	 return [0.0031896  0.00563993 0.00257365 0.0021689  0.        ], ([4.7063371e-04 9.1610401e-04 8.4649773e-06 1.0881106e-05 0.0000000e+00]) 	 loss 2.278E-02 	 horizons 9.0
step 11700 	 return [0.00224833 0.00747213 0.00259058 0.00219066 0.        ], ([2.3283064e-10 4.6566129e-10 0.0000000e+00 0.0000000e+00 0.0000000e+00]) 	 loss 2.225E-02 	 horizons 9.0
step 11790 	 return [0.         0.00372364 0.00677263 0.0030628  0.0061786 ], ([0.0000000e+00 0.0000000e+00 9.3132257e-10 2.3283064e-10 4.6566129e-10]) 	 loss 2.152E-02 	 horizons 9.0
step 11880 	 return [0.00506825 0.00406052 0.00033088 0.00016438 0.        ], ([2.1027125e-05 8.7926156e-07 8.4884228e-08 5.5975402e-08 0.0000000e+00]) 	 loss 2.214E-02 	 horizons 9.0
step 11970 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 2.971E-02 	 horizons 9.0
step 12060 	 return [0.         0.00474894 0.00466312 0.00328235 0.00275608], ([0.         0.00298711 0.00255528 0.00186211 0.00249141]) 	 loss 1.902E-02 	 horizons 9.0
step 12150 	 return [0.00205308 0.0062251  0.00356587 0.00193321 0.        ], ([0.00069689 0.00078063 0.00054522 0.00014388 0.        ]) 	 loss 5.647E-02 	 horizons 9.0
step 12240 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 2.462E-02 	 horizons 9.0
step 12330 	 return [0.00296555 0.00538905 0.00252425 0.00212472 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 2.3283064e-10 0.0000000e+00]) 	 loss 2.808E-02 	 horizons 9.0
step 12420 	 return [0.00342492 0.00518187 0.00256942 0.00216346 0.        ], ([4.6566129e-10 0.0000000e+00 2.3283064e-10 2.3283064e-10 0.0000000e+00]) 	 loss 2.156E-02 	 horizons 9.0
step 12510 	 return [0.00409973 0.00355189 0.00057792 0.00095499 0.        ], ([3.0236013e-04 1.2700834e-03 3.3126897e-05 1.5710416e-04 0.0000000e+00]) 	 loss 1.727E-02 	 horizons 9.0
step 12600 	 return [0.00335244 0.00534377 0.00257145 0.00216609 0.        ], ([2.1743703e-04 4.8569645e-04 6.1060769e-06 7.8841595e-06 0.0000000e+00]) 	 loss 2.216E-02 	 horizons 9.0
