step 12240 	 return [0.         0.         0.00445707 0.00461437 0.00806514], ([0.0000000e+00 0.0000000e+00 6.2187287e-06 2.9307412e-04 2.0782964e-04]) 	 loss 8.148E-02 	 horizons 9.0
step 12330 	 return [0.         0.00196483 0.01171407 0.00357337 0.        ], ([0.0000000e+00 2.3283064e-10 9.3132257e-10 4.6566129e-10 0.0000000e+00]) 	 loss 8.855E-02 	 horizons 9.0
step 12420 	 return [0.00352426 0.00555357 0.00047376 0.00102469 0.        ], ([1.0183442e-04 7.5950904e-04 3.7571372e-05 8.3077844e-05 0.0000000e+00]) 	 loss 8.097E-02 	 horizons 9.0
step 12510 	 return [0.00192169 0.0080876  0.00282813 0.00017747 0.        ], ([1.29538472e-04 1.20729856e-04 3.41632386e-07 5.52245218e-08
 0.00000000e+00]) 	 loss 1.103E-01 	 horizons 9.0
step 12600 	 return [0.00085779 0.00876373 0.00323107 0.00134821 0.        ], ([0.00042889 0.00044741 0.00025602 0.00012325 0.        ]) 	 loss 8.816E-02 	 horizons 9.0
step 12690 	 return [0.00215217 0.0075298  0.00092408 0.00135882 0.        ], ([0.00040246 0.00062641 0.00041582 0.00017254 0.        ]) 	 loss 8.442E-02 	 horizons 9.0
step 12780 	 return [0.         0.00944081 0.00411431 0.00105879 0.        ], ([0.         0.00058143 0.00097557 0.00051918 0.        ]) 	 loss 7.943E-02 	 horizons 9.0
step 12870 	 return [0.00343446 0.00386    0.00116557 0.00090159 0.        ], ([8.5928827e-05 4.3817636e-04 5.6578547e-06 6.4147753e-06 0.0000000e+00]) 	 loss 6.964E-02 	 horizons 9.0
step 12960 	 return [0.00260529 0.00518367 0.00126546 0.00136175 0.        ], ([0.00057768 0.00047814 0.00023217 0.00024372 0.        ]) 	 loss 7.607E-02 	 horizons 9.0
step 13050 	 return [0.00155375 0.00830035 0.00131565 0.00112088 0.        ], ([0.00061223 0.00023795 0.00107468 0.00033135 0.        ]) 	 loss 9.008E-02 	 horizons 9.0
step 13140 	 return [0.00223245 0.0069544  0.00137831 0.00157561 0.        ], ([0.00018813 0.00046999 0.00026042 0.00015213 0.        ]) 	 loss 7.818E-02 	 horizons 9.0
step 13230 	 return [0.00343037 0.00663703 0.00056195 0.00118005 0.        ], ([1.8575038e-04 6.0271658e-04 5.4795182e-05 1.4416449e-04 0.0000000e+00]) 	 loss 6.593E-02 	 horizons 9.0
step 13320 	 return [0.         0.00980355 0.00351055 0.00136632 0.        ], ([0.         0.00037254 0.0006447  0.00012298 0.        ]) 	 loss 6.766E-02 	 horizons 9.0
step 13410 	 return [0.00231624 0.00628926 0.00146567 0.00163783 0.        ], ([3.9984606e-04 1.5220128e-04 4.5645520e-05 8.7077235e-05 0.0000000e+00]) 	 loss 5.251E-02 	 horizons 9.0
