step 7920 	 return [0.00092727 0.00483117 0.00101967], ([0.00078309 0.00055526 0.00079472]) 	 loss 1.381E-01 	 horizons 9.0
step 8010 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 1.296E-01 	 horizons 9.0
step 8100 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 1.348E-01 	 horizons 9.0
step 8190 	 return [0.00349326 0.00309033 0.00096685], ([3.6384229e-04 2.8564938e-04 2.4673309e-05]) 	 loss 1.131E-01 	 horizons 9.0
step 8280 	 return [0.00334634 0.00249237 0.00112362], ([0.00044578 0.00023133 0.00014139]) 	 loss 9.079E-02 	 horizons 9.0
step 8370 	 return [0.00296822 0.00352119 0.00098835], ([3.5783340e-04 2.4670511e-04 3.7921943e-06]) 	 loss 9.424E-02 	 horizons 9.0
step 8460 	 return [0.00277413 0.00389245 0.00102594], ([2.1760536e-05 2.8200512e-04 9.2195594e-05]) 	 loss 6.313E-02 	 horizons 9.0
step 8550 	 return [0.00268929 0.00398661 0.00099602], ([2.7747557e-04 1.7852124e-04 1.9667655e-06]) 	 loss 5.985E-02 	 horizons 9.0
step 8640 	 return [0.00288346 0.00342046 0.00098874], ([2.6676341e-04 4.2802792e-05 3.3697395e-06]) 	 loss 5.412E-02 	 horizons 9.0
step 8730 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 6.126E-02 	 horizons 9.0
step 8820 	 return [0.00277984 0.00402405 0.00099022], ([1.4860416e-06 4.7645393e-05 2.0003255e-05]) 	 loss 7.889E-02 	 horizons 9.0
step 8910 	 return [0.00278201 0.00391255 0.00099445], ([5.3522208e-06 2.4582192e-04 3.8392895e-06]) 	 loss 8.710E-02 	 horizons 9.0
step 9000 	 return [0.00332701 0.00334968 0.00098432], ([4.3684221e-04 5.8541598e-05 2.6485486e-06]) 	 loss 8.629E-02 	 horizons 9.0
step 9090 	 return [0.00323861 0.00336531 0.00098543], ([4.4508660e-04 6.4268614e-05 3.6528315e-06]) 	 loss 7.096E-02 	 horizons 9.0
step 9180 	 return [0.00347179 0.00276395 0.0011396 ], ([0.00044218 0.00038161 0.0001427 ]) 	 loss 7.028E-02 	 horizons 9.0
step 9270 	 return [0.00277968 0.00403625 0.00099632], ([1.9663246e-06 1.1022344e-05 1.7157756e-06]) 	 loss 8.880E-02 	 horizons 9.0
step 9360 	 return [0.00277837 0.00402891 0.00099518], ([3.0036103e-06 1.6836906e-05 2.6208904e-06]) 	 loss 9.616E-02 	 horizons 9.0
step 9450 	 return [0.00277968 0.00403625 0.00099632], ([1.9663246e-06 1.1022343e-05 1.7157756e-06]) 	 loss 1.053E-01 	 horizons 9.0
step 9540 	 return [0.00278096 0.0039744  0.00099539], ([6.7537308e-06 1.7270118e-04 2.3624789e-06]) 	 loss 1.309E-01 	 horizons 9.0
step 9630 	 return [0.00354151 0.00247064 0.00123507], ([2.8421096e-05 8.4383566e-05 8.9273395e-05]) 	 loss 1.304E-01 	 horizons 9.0
step 9720 	 return [0.00339097 0.00337203 0.0010105 ], ([4.1317233e-04 1.6786600e-04 9.8423559e-05]) 	 loss 1.099E-01 	 horizons 9.0
step 9810 	 return [0.00354631 0.00251693 0.00122876], ([4.2774765e-05 2.1401719e-04 1.0753296e-04]) 	 loss 9.903E-02 	 horizons 9.0
step 9900 	 return [0.         0.00490192 0.00540944], ([0.0000000e+00 3.8325401e-05 1.0297213e-05]) 	 loss 9.233E-02 	 horizons 9.0
step 9990 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 9.677E-02 	 horizons 9.0
step 10080 	 return [0.         0.00491208 0.00541197], ([0.0000000e+00 4.3560951e-05 1.1391612e-05]) 	 loss 8.498E-02 	 horizons 9.0
