step 24378 	 return [0.00498398 0.01091667 0.01054877 0.00806326 0.00710415], ([0.00017954 0.00068257 0.00070773 0.00111882 0.00128421]) 	 loss 1.268E-01 	 horizons 19.0
step 24568 	 return [0.00522032 0.01060301 0.01049543 0.00783997 0.00744488], ([0.00035826 0.00131466 0.00064066 0.00091417 0.00070623]) 	 loss 1.117E-01 	 horizons 19.0
step 24758 	 return [0.00759596 0.00898382 0.00899973 0.00862306 0.00685323], ([2.5369611e-05 5.0337176e-04 2.6372974e-04 6.0274242e-04 1.9444824e-04]) 	 loss 1.244E-01 	 horizons 19.0
step 24948 	 return [0.00561507 0.0097969  0.00889282 0.00883915 0.00805194], ([0.0004313  0.00080079 0.00061469 0.00063989 0.00090271]) 	 loss 1.164E-01 	 horizons 19.0
step 25138 	 return [0.00746894 0.00878593 0.00886758 0.0090707  0.00700137], ([0.00037735 0.00075663 0.00019829 0.00047536 0.00016237]) 	 loss 1.291E-01 	 horizons 19.0
step 25328 	 return [0.00670696 0.01160445 0.0095686  0.00899146 0.00715609], ([5.7220552e-04 8.9711312e-04 4.0927081e-04 5.0214658e-05 4.0784787e-04]) 	 loss 1.157E-01 	 horizons 19.0
step 25518 	 return [0.00607076 0.01156529 0.00888856 0.0097173  0.00727894], ([0.00058716 0.00085703 0.00073031 0.00118443 0.0005264 ]) 	 loss 1.295E-01 	 horizons 19.0
step 25708 	 return [0.00407454 0.00942885 0.00845308 0.01838817 0.00978567], ([0.00048652 0.00059031 0.00146049 0.00167548 0.00131774]) 	 loss 1.037E-01 	 horizons 19.0
step 25898 	 return [0.00716733 0.01111337 0.00937341 0.00891771 0.00693334], ([0.00059785 0.00147648 0.00039613 0.00016131 0.00010127]) 	 loss 9.365E-02 	 horizons 19.0
step 26088 	 return [0.00347501 0.00990084 0.00677134 0.01824141 0.01162522], ([0.00057039 0.00050341 0.00113389 0.00090161 0.00106583]) 	 loss 8.552E-02 	 horizons 19.0
step 26278 	 return [0.00574997 0.01003404 0.00843562 0.00970928 0.00708059], ([0.00039742 0.00067537 0.00052539 0.00058236 0.00017971]) 	 loss 9.206E-02 	 horizons 19.0
step 26468 	 return [0.00451743 0.00785224 0.00990754 0.01779804 0.00961502], ([0.00035634 0.00135059 0.00156168 0.00174419 0.0007654 ]) 	 loss 1.011E-01 	 horizons 19.0
step 26658 	 return [0.00525292 0.01001003 0.0084868  0.0128791  0.00791899], ([0.00116526 0.00121239 0.00124773 0.00182864 0.00169781]) 	 loss 1.204E-01 	 horizons 19.0
step 26848 	 return [0.00578031 0.01007322 0.00855329 0.00977373 0.00717646], ([0.00047571 0.00077563 0.00055942 0.00094983 0.00042535]) 	 loss 1.020E-01 	 horizons 19.0
step 27038 	 return [0.0067833  0.00993702 0.00919338 0.00909253 0.00755969], ([0.00078118 0.00093358 0.00049281 0.00036885 0.00074972]) 	 loss 9.539E-02 	 horizons 19.0
step 27228 	 return [0.00310343 0.01089217 0.00773852 0.01730161 0.01179425], ([4.4268549e-05 8.8325277e-04 1.7549946e-03 7.2451006e-04 1.4695355e-03]) 	 loss 1.186E-01 	 horizons 19.0
