step 23471 	 return [0.00880002 0.00984631 0.00655722], ([0.00101382 0.00119213 0.00299054]) 	 loss 2.886E-01 	 horizons 19.0
step 23661 	 return [0.00761343 0.01195854 0.00702285], ([0.00060414 0.00150797 0.00162921]) 	 loss 2.875E-01 	 horizons 19.0
step 23851 	 return [0.00563538 0.01142558 0.00973927], ([0.00090325 0.00079257 0.00140254]) 	 loss 2.861E-01 	 horizons 19.0
step 24041 	 return [0.00616373 0.01160562 0.00940465], ([0.00065366 0.00107681 0.00111678]) 	 loss 2.716E-01 	 horizons 19.0
step 24231 	 return [0.00706715 0.01068061 0.00849633], ([0.00134492 0.00089523 0.0010683 ]) 	 loss 2.896E-01 	 horizons 19.0
step 24421 	 return [0.00602239 0.01214637 0.01060313], ([0.00060311 0.00113289 0.00133543]) 	 loss 2.847E-01 	 horizons 19.0
step 24611 	 return [0.00670813 0.01109292 0.01011585], ([0.00091182 0.00163612 0.00106299]) 	 loss 2.684E-01 	 horizons 19.0
step 24801 	 return [0.00734804 0.01083329 0.00879132], ([0.00078664 0.00062747 0.00150942]) 	 loss 2.820E-01 	 horizons 19.0
step 24991 	 return [0.00737321 0.01115683 0.00862283], ([0.00101645 0.00127381 0.00165163]) 	 loss 2.626E-01 	 horizons 19.0
step 25181 	 return [0.00703409 0.01188687 0.00866878], ([0.00065555 0.00069477 0.00094695]) 	 loss 2.659E-01 	 horizons 19.0
step 25371 	 return [0.00668008 0.01203442 0.00714406], ([0.00081165 0.00150672 0.0021927 ]) 	 loss 2.654E-01 	 horizons 19.0
step 25561 	 return [0.00671184 0.0107658  0.01135091], ([0.00074099 0.00103779 0.0010178 ]) 	 loss 2.539E-01 	 horizons 19.0
step 25751 	 return [0.00742819 0.01115771 0.00873976], ([0.00110206 0.00114254 0.00182293]) 	 loss 2.748E-01 	 horizons 19.0
step 25941 	 return [0.00736416 0.00989584 0.01100908], ([0.0005795  0.0005192  0.00134588]) 	 loss 2.529E-01 	 horizons 19.0
step 26131 	 return [0.0078576  0.01070728 0.00990538], ([0.00084774 0.00092865 0.00168896]) 	 loss 2.419E-01 	 horizons 19.0
step 26321 	 return [0.00782693 0.01223084 0.00931697], ([0.00131929 0.00178932 0.00252157]) 	 loss 2.279E-01 	 horizons 19.0
step 26511 	 return [0.0074394  0.01114955 0.00878195], ([0.00072525 0.00147296 0.00186241]) 	 loss 2.250E-01 	 horizons 19.0
step 26701 	 return [0.00846599 0.01129814 0.00852894], ([0.00107071 0.00116906 0.00163169]) 	 loss 2.537E-01 	 horizons 19.0
step 26891 	 return [0.00765328 0.0111318  0.009705  ], ([0.0006816  0.0007348  0.00161358]) 	 loss 2.463E-01 	 horizons 19.0
step 27081 	 return [0.00836232 0.01072073 0.00948965], ([0.00049367 0.00122449 0.00139366]) 	 loss 2.351E-01 	 horizons 19.0
step 27271 	 return [0.00771524 0.01045494 0.00957652], ([0.00196761 0.00113867 0.00232646]) 	 loss 2.395E-01 	 horizons 19.0
step 27461 	 return [0.00820688 0.0107076  0.00943705], ([0.000995   0.00083562 0.00175716]) 	 loss 2.050E-01 	 horizons 19.0
