step 15636 	 return [0.00594463 0.00954906 0.00923611], ([0.00046499 0.00099108 0.00212875]) 	 loss 4.199E-01 	 horizons 19.0
step 15826 	 return [0.00563132 0.01031304 0.00931608], ([0.00069559 0.00138181 0.00158858]) 	 loss 3.683E-01 	 horizons 19.0
step 16016 	 return [0.00474527 0.00983313 0.01030216], ([0.00063859 0.00148613 0.00089729]) 	 loss 3.673E-01 	 horizons 19.0
step 16206 	 return [0.00580315 0.01021587 0.00934388], ([0.00068008 0.0012946  0.00184676]) 	 loss 3.934E-01 	 horizons 19.0
step 16396 	 return [0.00396416 0.01078337 0.0093105 ], ([0.00082184 0.0020721  0.00109427]) 	 loss 3.835E-01 	 horizons 19.0
step 16586 	 return [0.00433509 0.01144094 0.00966134], ([0.0012733  0.0012998  0.00124717]) 	 loss 3.909E-01 	 horizons 19.0
step 16776 	 return [0.00430087 0.01152284 0.00960907], ([0.00116411 0.00133119 0.00148278]) 	 loss 3.901E-01 	 horizons 19.0
step 16966 	 return [0.00611025 0.01004861 0.00881206], ([0.00050377 0.00118056 0.00123448]) 	 loss 3.825E-01 	 horizons 19.0
step 17156 	 return [0.00561964 0.00986119 0.01010331], ([0.00065127 0.00164221 0.00170892]) 	 loss 3.748E-01 	 horizons 19.0
step 17346 	 return [0.0065861  0.00954567 0.00844637], ([0.0008096  0.00096258 0.00118716]) 	 loss 3.639E-01 	 horizons 19.0
step 17536 	 return [0.00630716 0.01070355 0.00906782], ([0.00063909 0.00164237 0.00184322]) 	 loss 3.819E-01 	 horizons 19.0
step 17726 	 return [0.00646309 0.00921628 0.0101122 ], ([0.00076159 0.00146889 0.00145011]) 	 loss 3.453E-01 	 horizons 19.0
step 17916 	 return [0.00626233 0.00942734 0.00909238], ([0.00072253 0.00090705 0.00112979]) 	 loss 3.502E-01 	 horizons 19.0
step 18106 	 return [0.00673388 0.00872388 0.0107144 ], ([0.00083532 0.00123915 0.00164217]) 	 loss 3.366E-01 	 horizons 19.0
