step 23601 	 return [0.00803505 0.0098863  0.01272211], ([0.00037759 0.00019159 0.00016085]) 	 loss 1.186E-01 	 horizons 19.0
step 23791 	 return [0.00840515 0.00978518 0.01246464], ([0.00060608 0.00032825 0.00071229]) 	 loss 1.305E-01 	 horizons 19.0
step 23981 	 return [0.00842836 0.01009319 0.01250662], ([0.00038806 0.0006556  0.00057287]) 	 loss 1.064E-01 	 horizons 19.0
step 24171 	 return [0.00831988 0.00986318 0.01285504], ([3.9826683e-04 4.6794661e-04 6.7940695e-05]) 	 loss 1.129E-01 	 horizons 19.0
step 24361 	 return [0.00869646 0.01010301 0.0127644 ], ([0.00048568 0.00025009 0.00019194]) 	 loss 1.018E-01 	 horizons 19.0
step 24551 	 return [0.00802236 0.00992908 0.01300196], ([0.00117643 0.00063941 0.0003492 ]) 	 loss 1.101E-01 	 horizons 19.0
step 24741 	 return [0.00849815 0.0101998  0.01285593], ([0.00047025 0.00057823 0.0002462 ]) 	 loss 1.007E-01 	 horizons 19.0
step 24931 	 return [0.00844838 0.0101372  0.01289186], ([0.00027598 0.00047485 0.00014054]) 	 loss 1.256E-01 	 horizons 19.0
step 25121 	 return [0.00808179 0.00994176 0.01294531], ([0.00113406 0.00078641 0.00020397]) 	 loss 1.136E-01 	 horizons 19.0
step 25311 	 return [0.00847219 0.01007096 0.01280351], ([0.00027887 0.00050238 0.00024165]) 	 loss 1.056E-01 	 horizons 19.0
step 25501 	 return [0.00892719 0.01058835 0.0131614 ], ([0.00067933 0.00115524 0.00035238]) 	 loss 1.001E-01 	 horizons 19.0
step 25691 	 return [0.00881442 0.01026311 0.01289493], ([0.00055165 0.00050946 0.00020611]) 	 loss 8.604E-02 	 horizons 19.0
step 25881 	 return [0.0085824  0.0103059  0.01275723], ([0.00073062 0.00052445 0.00032546]) 	 loss 1.003E-01 	 horizons 19.0
step 26071 	 return [0.00866869 0.01018124 0.01264343], ([0.00067018 0.0008799  0.00044078]) 	 loss 8.849E-02 	 horizons 19.0
step 26261 	 return [0.00854049 0.01013383 0.01280096], ([0.00030426 0.00031457 0.00016603]) 	 loss 9.133E-02 	 horizons 19.0
step 26451 	 return [0.00852043 0.00984182 0.01289084], ([4.4975447e-04 6.1200245e-04 5.7917878e-05]) 	 loss 8.807E-02 	 horizons 19.0
