step 25173 	 return [0.00718547 0.01224827 0.01187592], ([0.00075594 0.00083153 0.0010825 ]) 	 loss 2.172E-01 	 horizons 19.0
step 25363 	 return [0.00928252 0.01203458 0.01218081], ([0.00066902 0.00096571 0.00110181]) 	 loss 2.063E-01 	 horizons 19.0
step 25553 	 return [0.00909687 0.0120438  0.01309339], ([0.00075727 0.00071464 0.00046648]) 	 loss 1.932E-01 	 horizons 19.0
step 25743 	 return [0.00960347 0.01305995 0.01169318], ([0.00040048 0.0006166  0.0012368 ]) 	 loss 2.231E-01 	 horizons 19.0
step 25933 	 return [0.00893115 0.01316083 0.01147752], ([0.00086292 0.00135174 0.00150747]) 	 loss 2.014E-01 	 horizons 19.0
step 26123 	 return [0.00972161 0.01209219 0.01196765], ([0.00039431 0.00092069 0.00121474]) 	 loss 1.926E-01 	 horizons 19.0
step 26313 	 return [0.0088991  0.01211095 0.01243983], ([0.00077052 0.0007866  0.00087133]) 	 loss 2.033E-01 	 horizons 19.0
step 26503 	 return [0.00946929 0.0133063  0.01147971], ([0.00038383 0.00089373 0.00116805]) 	 loss 1.726E-01 	 horizons 19.0
step 26693 	 return [0.00890447 0.01116114 0.01269717], ([0.00058447 0.00038688 0.00123577]) 	 loss 1.763E-01 	 horizons 19.0
step 26883 	 return [0.00878483 0.01283594 0.01187651], ([0.00086251 0.00096779 0.00105446]) 	 loss 1.987E-01 	 horizons 19.0
step 27073 	 return [0.00947252 0.0115812  0.01276769], ([0.00048639 0.00072523 0.00152823]) 	 loss 1.980E-01 	 horizons 19.0
step 27263 	 return [0.00974109 0.01224006 0.01268334], ([0.00054018 0.00071497 0.00071334]) 	 loss 1.676E-01 	 horizons 19.0
step 27453 	 return [0.00870585 0.01185799 0.01298656], ([0.00066146 0.00106871 0.00075377]) 	 loss 1.608E-01 	 horizons 19.0
step 27643 	 return [0.00949314 0.012757   0.01201365], ([0.00049855 0.00047477 0.00118219]) 	 loss 1.609E-01 	 horizons 19.0
step 27833 	 return [0.00935758 0.01155828 0.01326272], ([0.00056084 0.00053834 0.00113997]) 	 loss 1.624E-01 	 horizons 19.0
step 28023 	 return [0.00954085 0.01231103 0.01308814], ([0.00054215 0.00070827 0.00089403]) 	 loss 1.640E-01 	 horizons 19.0
step 28213 	 return [0.0099066  0.01276149 0.01294042], ([0.00022142 0.00025498 0.00060756]) 	 loss 1.621E-01 	 horizons 19.0
step 28403 	 return [0.00810238 0.01372662 0.01179473], ([0.0008732  0.00068753 0.00075604]) 	 loss 1.384E-01 	 horizons 19.0
step 28593 	 return [0.00989411 0.01247955 0.0132962 ], ([0.0002508  0.00057913 0.00025074]) 	 loss 1.296E-01 	 horizons 19.0
step 28783 	 return [0.00890613 0.0114728  0.01358574], ([0.00028976 0.00028025 0.00124736]) 	 loss 1.328E-01 	 horizons 19.0
step 28973 	 return [0.00979751 0.01279408 0.01275656], ([0.00028356 0.00027611 0.00081289]) 	 loss 1.059E-01 	 horizons 19.0
step 29163 	 return [0.00996179 0.0127428  0.01297077], ([0.00026552 0.00020577 0.00061351]) 	 loss 1.086E-01 	 horizons 19.0
step 29353 	 return [0.00977001 0.01176263 0.01250757], ([0.00030786 0.00067633 0.00083836]) 	 loss 1.015E-01 	 horizons 19.0
step 29543 	 return [0.00996778 0.01291201 0.0131228 ], ([1.6689334e-04 2.5875631e-04 9.2006718e-05]) 	 loss 1.137E-01 	 horizons 19.0
step 29733 	 return [0.0098235  0.01246628 0.01314009], ([0.00028894 0.00059332 0.0004669 ]) 	 loss 1.269E-01 	 horizons 19.0
step 29923 	 return [0.00994798 0.01250277 0.01272714], ([0.0002148  0.00064161 0.00089403]) 	 loss 1.080E-01 	 horizons 19.0
step 30113 	 return [0.00999657 0.01281521 0.01317115], ([1.5308311e-04 2.0491317e-04 1.0377801e-05]) 	 loss 1.002E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-temporal__42__1781487421[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/5iafb72n[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_033701-5iafb72n/logs[0m
