step 14908 	 return [0.00442057 0.00353444 0.01265596 0.00991953 0.00863501], ([0.00018553 0.00119339 0.00123652 0.00064248 0.00076537]) 	 loss 3.639E-01 	 horizons 19.0
step 15098 	 return [0.00569067 0.00263228 0.01121897 0.00735729 0.00760598], ([0.00049422 0.00026066 0.00336762 0.00302216 0.00315079]) 	 loss 3.597E-01 	 horizons 19.0
step 15288 	 return [0.0057681  0.00343437 0.01145372 0.00897033 0.00745958], ([0.00065004 0.00167586 0.00146932 0.00248759 0.00208045]) 	 loss 3.518E-01 	 horizons 19.0
step 15478 	 return [0.00405809 0.00848181 0.0115308  0.0115167  0.00860662], ([0.00044679 0.00091044 0.00101163 0.00168677 0.00166528]) 	 loss 3.407E-01 	 horizons 19.0
step 15668 	 return [0.00396058 0.00975304 0.00859699 0.01196609 0.00722512], ([0.00038974 0.0012328  0.00128694 0.00151365 0.00165759]) 	 loss 3.341E-01 	 horizons 19.0
step 15858 	 return [0.00313034 0.00883568 0.01182417 0.00864184 0.00947389], ([9.4183735e-05 1.9595961e-03 1.3713613e-03 1.0548183e-03 1.7251713e-03]) 	 loss 3.187E-01 	 horizons 19.0
step 16048 	 return [0.00307217 0.00873954 0.01141474 0.00902944 0.00907994], ([0.00037361 0.0017186  0.00189277 0.00188476 0.00146415]) 	 loss 3.153E-01 	 horizons 19.0
step 16238 	 return [0.00386196 0.00885026 0.00971547 0.01399093 0.00748595], ([0.00058863 0.00083638 0.00160373 0.00214095 0.00157488]) 	 loss 3.472E-01 	 horizons 19.0
step 16428 	 return [0.00314765 0.01113087 0.00931844 0.01389883 0.00841129], ([0.00016462 0.00149995 0.00093313 0.00244437 0.00125156]) 	 loss 3.100E-01 	 horizons 19.0
step 16618 	 return [0.0042636  0.00850858 0.01168945 0.01093738 0.00884378], ([2.2784678e-05 5.9099082e-04 6.7566556e-04 1.4520315e-03 1.4707480e-03]) 	 loss 2.838E-01 	 horizons 19.0
step 16808 	 return [0.00582347 0.00636648 0.01032607 0.01096052 0.00675482], ([0.0004176  0.00128619 0.00093808 0.00160316 0.00210997]) 	 loss 2.498E-01 	 horizons 19.0
step 16998 	 return [0.0041158  0.00839888 0.01129312 0.01119016 0.01015563], ([0.00035244 0.00094926 0.00166993 0.00077661 0.00120365]) 	 loss 2.876E-01 	 horizons 19.0
step 17188 	 return [0.00562222 0.00285744 0.01216053 0.00955488 0.00871983], ([0.00058799 0.00055645 0.00176805 0.00177935 0.00234581]) 	 loss 2.576E-01 	 horizons 19.0
step 17378 	 return [0.00633794 0.00301202 0.01189893 0.0078474  0.00763418], ([0.00124432 0.0011935  0.00331364 0.00214448 0.00312201]) 	 loss 2.870E-01 	 horizons 19.0
step 17568 	 return [0.00457969 0.00661177 0.01015883 0.01212714 0.00762654], ([0.00074499 0.00132404 0.00082899 0.00197746 0.00108303]) 	 loss 3.007E-01 	 horizons 19.0
step 17758 	 return [0.00598119 0.00292975 0.01323778 0.00834133 0.01060379], ([0.00028062 0.00060542 0.00130379 0.00151229 0.0009939 ]) 	 loss 2.484E-01 	 horizons 19.0
step 17948 	 return [0.00594418 0.00488804 0.00959634 0.01233154 0.00862674], ([0.00037658 0.00163519 0.00139124 0.00235434 0.00117981]) 	 loss 2.281E-01 	 horizons 19.0
step 18138 	 return [0.00327484 0.01276033 0.00930805 0.0151162  0.00887858], ([6.7481371e-05 1.1171531e-03 1.0819220e-03 1.4858046e-03 1.2848964e-03]) 	 loss 2.355E-01 	 horizons 19.0
step 18328 	 return [0.00478473 0.00644499 0.01121568 0.0101519  0.00897298], ([0.00056384 0.0015299  0.00135058 0.00106707 0.00141899]) 	 loss 2.396E-01 	 horizons 19.0
step 18518 	 return [0.00550456 0.00569078 0.00951298 0.01243442 0.00862945], ([0.00059174 0.00152568 0.00114409 0.00211767 0.00178307]) 	 loss 1.936E-01 	 horizons 19.0
step 18708 	 return [0.0059452  0.00495626 0.01006163 0.01246555 0.00883208], ([0.00035205 0.00068921 0.0006133  0.0014738  0.0006663 ]) 	 loss 1.979E-01 	 horizons 19.0
step 18898 	 return [0.00467113 0.00842783 0.0107725  0.01153035 0.00830732], ([0.00050673 0.00050762 0.00125804 0.00152734 0.00098366]) 	 loss 1.991E-01 	 horizons 19.0
step 19088 	 return [0.00330101 0.01263658 0.00918154 0.01444971 0.00971386], ([0.00011118 0.00071809 0.00034419 0.00087677 0.00078305]) 	 loss 2.137E-01 	 horizons 19.0
step 19278 	 return [0.00559679 0.00308525 0.01207512 0.0104832  0.01065316], ([0.0005717  0.00093196 0.00217135 0.0018861  0.00131538]) 	 loss 1.916E-01 	 horizons 19.0
step 19468 	 return [0.00425723 0.00878643 0.01190802 0.01193237 0.01145098], ([7.8165300e-05 3.2559026e-04 1.2129986e-03 9.7480277e-04 1.7543249e-03]) 	 loss 1.917E-01 	 horizons 19.0
step 19658 	 return [0.00345387 0.00937715 0.0130227  0.00960055 0.01162685], ([0.00045973 0.00125031 0.00178877 0.00232733 0.00060422]) 	 loss 1.775E-01 	 horizons 19.0
step 19848 	 return [0.00511732 0.00469924 0.00992745 0.01401334 0.00808177], ([0.00052912 0.00110551 0.00214711 0.00267328 0.00102934]) 	 loss 1.965E-01 	 horizons 19.0
step 20038 	 return [0.00511012 0.00722244 0.01051613 0.00979362 0.00967983], ([0.00064992 0.00137552 0.00123772 0.00124896 0.00173113]) 	 loss 1.915E-01 	 horizons 19.0
step 20228 	 return [0.00324323 0.01307631 0.00889805 0.01601025 0.00974652], ([4.6670881e-05 2.8191993e-04 1.4539311e-03 5.2962347e-04 5.0241989e-04]) 	 loss 1.873E-01 	 horizons 19.0
step 20418 	 return [0.00426838 0.00884584 0.01283617 0.0111147  0.01223777], ([3.2902288e-05 1.8479575e-04 1.0608762e-03 1.1107671e-03 1.1819673e-03]) 	 loss 1.626E-01 	 horizons 19.0
step 20608 	 return [0.00450559 0.00873511 0.01096644 0.0118495  0.0111312 ], ([0.0004449  0.00029903 0.00145474 0.0016215  0.00071705]) 	 loss 1.847E-01 	 horizons 19.0
step 20798 	 return [0.00470185 0.00861577 0.01176303 0.01091685 0.01112059], ([0.00055904 0.00026898 0.00164132 0.00086578 0.00163123]) 	 loss 1.908E-01 	 horizons 19.0
step 20988 	 return [0.00559115 0.00827185 0.01017651 0.01056016 0.00872475], ([0.00047159 0.00021695 0.00104917 0.00020183 0.00067197]) 	 loss 1.756E-01 	 horizons 19.0
step 21178 	 return [0.00323342 0.01164494 0.00976177 0.01438821 0.00985083], ([9.9893274e-05 8.0514682e-04 8.6824596e-04 1.1589556e-03 1.0272157e-03]) 	 loss 1.652E-01 	 horizons 19.0
step 21368 	 return [0.00327164 0.01317588 0.00919018 0.01540393 0.00983698], ([1.5428286e-05 2.3936287e-04 5.7580421e-04 7.9372514e-04 8.1574952e-04]) 	 loss 1.568E-01 	 horizons 19.0
step 21558 	 return [0.00327947 0.01289847 0.00972665 0.01529311 0.00997678], ([4.8278478e-05 7.7788153e-04 4.4144207e-04 1.8945959e-03 8.5251901e-04]) 	 loss 1.639E-01 	 horizons 19.0
step 21748 	 return [0.00425003 0.00876796 0.01349918 0.01083138 0.01187424], ([3.7828642e-05 2.0859740e-04 7.6749950e-04 6.2298455e-04 6.5516052e-04]) 	 loss 1.426E-01 	 horizons 19.0
step 21938 	 return [0.00639576 0.00582303 0.00974075 0.01158478 0.0072276 ], ([0.0001848  0.00052711 0.00121225 0.00186704 0.00205604]) 	 loss 1.501E-01 	 horizons 19.0
step 22128 	 return [0.00581802 0.00620729 0.00969187 0.01191974 0.00785271], ([0.00056952 0.00173392 0.00135667 0.00186988 0.00092999]) 	 loss 1.313E-01 	 horizons 19.0
step 22318 	 return [0.00336219 0.01311396 0.00956506 0.01522674 0.00950449], ([0.00023516 0.00050505 0.00058281 0.00189065 0.00081507]) 	 loss 1.585E-01 	 horizons 19.0
step 22508 	 return [0.00325434 0.01312792 0.0096403  0.01599916 0.0109268 ], ([3.96984033e-05 2.24798234e-04 1.10189125e-04 7.07830593e-04
 4.64674318e-04]) 	 loss 1.483E-01 	 horizons 19.0
step 22698 	 return [0.0052068  0.00858663 0.00911239 0.01348716 0.01066338], ([0.00045203 0.00026085 0.00225193 0.00217822 0.00117672]) 	 loss 1.226E-01 	 horizons 19.0
step 22888 	 return [0.00516551 0.0086537  0.00836026 0.01442136 0.01092629], ([0.00043508 0.00039092 0.00122431 0.00152337 0.00134529]) 	 loss 1.333E-01 	 horizons 19.0
step 23078 	 return [0.0054652  0.00828965 0.00856682 0.01328624 0.00928922], ([0.00012882 0.00064452 0.00198445 0.00201347 0.00123947]) 	 loss 1.277E-01 	 horizons 19.0
step 23268 	 return [0.00327139 0.01319636 0.00972899 0.0153308  0.01054363], ([6.9924870e-05 7.0323906e-04 5.8555242e-04 9.5343927e-04 7.0199242e-04]) 	 loss 1.289E-01 	 horizons 19.0
step 23458 	 return [0.00327547 0.01253457 0.0096952  0.01560207 0.01082943], ([1.4847228e-05 9.1300276e-04 2.2123822e-04 1.4744262e-03 6.4637209e-04]) 	 loss 1.023E-01 	 horizons 19.0
step 23648 	 return [0.00633263 0.00550602 0.01004886 0.0137339  0.0094438 ], ([5.4661759e-05 2.2829398e-04 2.9731338e-04 1.6128007e-04 4.7612429e-04]) 	 loss 1.055E-01 	 horizons 19.0
step 23838 	 return [0.00495482 0.00869383 0.01219017 0.01171583 0.01289138], ([0.00055526 0.00022246 0.00128324 0.0004887  0.00144563]) 	 loss 1.232E-01 	 horizons 19.0
step 24028 	 return [0.00539791 0.00837342 0.00713756 0.01588448 0.01053449], ([7.6393233e-05 3.2006597e-04 1.5717967e-03 2.1799544e-03 1.2717202e-03]) 	 loss 1.092E-01 	 horizons 19.0
step 24218 	 return [0.00530156 0.00863408 0.01221786 0.01159588 0.01319911], ([0.00034741 0.00011803 0.00066119 0.00038208 0.0007605 ]) 	 loss 1.105E-01 	 horizons 19.0
step 24408 	 return [0.00509179 0.00868156 0.00850804 0.01633984 0.01014559], ([0.00052668 0.00018634 0.0013707  0.00143616 0.00152507]) 	 loss 1.255E-01 	 horizons 19.0
step 24598 	 return [0.0054255  0.00848971 0.00901045 0.01361458 0.01016319], ([2.0140944e-05 1.1867243e-04 4.8326817e-04 4.1045478e-04 1.6017967e-03]) 	 loss 1.035E-01 	 horizons 19.0
step 24788 	 return [0.00324181 0.01368887 0.00869654 0.01567063 0.01044052], ([8.0665472e-05 1.3304780e-03 6.1547681e-04 6.7186233e-04 8.9071784e-04]) 	 loss 1.237E-01 	 horizons 19.0
step 24978 	 return [0.00325953 0.01319116 0.00981675 0.01615384 0.01072114], ([3.2877433e-05 1.7992361e-04 3.5867610e-04 1.0804212e-04 5.4355798e-04]) 	 loss 1.071E-01 	 horizons 19.0
step 25168 	 return [0.00418901 0.00888044 0.01321737 0.01162314 0.01368944], ([0.00019982 0.00026584 0.00054579 0.00081932 0.00035857]) 	 loss 1.046E-01 	 horizons 19.0
step 25358 	 return [0.0052688  0.00844908 0.01059494 0.0110882  0.00894055], ([0.00033895 0.00015469 0.00065918 0.00099525 0.00020296]) 	 loss 1.165E-01 	 horizons 19.0
step 25548 	 return [0.00546326 0.00867827 0.00669011 0.01789249 0.01145274], ([4.7719008e-05 1.6519309e-04 1.2772776e-03 1.0146663e-03 1.0466191e-03]) 	 loss 1.058E-01 	 horizons 19.0
step 25738 	 return [0.00539618 0.00852136 0.01214944 0.01113628 0.01339677], ([4.0410945e-05 1.7590579e-04 3.5596799e-04 1.1190823e-03 5.9007684e-04]) 	 loss 1.063E-01 	 horizons 19.0
step 25928 	 return [0.00503753 0.0086028  0.0123603  0.01140044 0.01303979], ([0.00052129 0.00032914 0.00125756 0.00123621 0.00081062]) 	 loss 9.400E-02 	 horizons 19.0
step 26118 	 return [0.00428193 0.00897219 0.01353143 0.01176718 0.01319798], ([1.6654822e-05 8.9798297e-05 2.8487496e-04 4.1656324e-04 7.6037267e-04]) 	 loss 9.782E-02 	 horizons 19.0
step 26308 	 return [0.00362093 0.01172791 0.00912626 0.0162694  0.0111999 ], ([0.00045457 0.00092874 0.0008207  0.0020647  0.00044109]) 	 loss 9.255E-02 	 horizons 19.0
step 26498 	 return [0.00600679 0.00600416 0.00978799 0.01242399 0.0106997 ], ([0.00043    0.00183679 0.00113554 0.00165153 0.00091445]) 	 loss 7.920E-02 	 horizons 19.0
step 26688 	 return [0.00394098 0.01155138 0.0087416  0.01589343 0.01057594], ([0.00044827 0.0011388  0.00075675 0.00179021 0.00127004]) 	 loss 7.813E-02 	 horizons 19.0
step 26878 	 return [0.00549478 0.0083728  0.01018382 0.01080059 0.00885381], ([3.5716413e-04 5.3013522e-05 8.3591760e-04 8.4189681e-04 2.7033422e-04]) 	 loss 8.797E-02 	 horizons 19.0
