step 22268 	 return [0.00327305 0.01066796 0.00916846 0.01319429 0.01137975], ([0.00026137 0.0007123  0.00047733 0.00042148 0.00053435]) 	 loss 1.646E-01 	 horizons 19.0
step 22458 	 return [0.00867201 0.00547539 0.00270889 0.00202748 0.        ], ([0.00172583 0.00071757 0.0015032  0.00064731 0.        ]) 	 loss 1.471E-01 	 horizons 19.0
step 22648 	 return [0.00348431 0.01257634 0.00948285 0.01388533 0.00852405], ([0.0004182  0.00207951 0.00093335 0.00117244 0.00212982]) 	 loss 1.508E-01 	 horizons 19.0
step 22838 	 return [0.00316105 0.01211529 0.00826077 0.01247469 0.00833694], ([0.00025849 0.00155962 0.00087619 0.00165769 0.00142353]) 	 loss 1.528E-01 	 horizons 19.0
step 23028 	 return [0.00546936 0.00704499 0.00676809 0.00522018 0.00222782], ([0.00168056 0.00229629 0.002986   0.00428997 0.00252654]) 	 loss 1.542E-01 	 horizons 19.0
step 23218 	 return [0.00341718 0.0105576  0.00905473 0.01360076 0.01146597], ([3.9507358e-04 7.3271617e-04 8.1940459e-05 1.0937436e-03 3.9604053e-04]) 	 loss 1.674E-01 	 horizons 19.0
step 23408 	 return [0.00324252 0.01387491 0.0090396  0.013913   0.00735415], ([0.0002156  0.00207698 0.00125212 0.0025123  0.00152119]) 	 loss 1.516E-01 	 horizons 19.0
step 23598 	 return [0.0032423  0.01063738 0.00889827 0.01223615 0.00938172], ([0.00033922 0.00120725 0.00113235 0.00387817 0.00174593]) 	 loss 1.648E-01 	 horizons 19.0
step 23788 	 return [0.00287983 0.01077479 0.00888375 0.01234035 0.01114247], ([0.00096094 0.00082314 0.00058529 0.00282925 0.00127854]) 	 loss 1.603E-01 	 horizons 19.0
step 23978 	 return [0.00322394 0.01144758 0.00905758 0.01429782 0.00958985], ([0.00015553 0.00103011 0.00119081 0.00153483 0.00145705]) 	 loss 1.483E-01 	 horizons 19.0
step 24168 	 return [0.00322643 0.01473139 0.00932091 0.01549869 0.00929157], ([7.9954312e-05 2.4024840e-03 9.4024302e-04 3.1365736e-03 1.1519757e-03]) 	 loss 1.272E-01 	 horizons 19.0
step 24358 	 return [0.0031756  0.01093801 0.00920058 0.01244907 0.01151284], ([8.0196318e-05 3.7530300e-04 5.2757270e-04 1.7992969e-03 2.2908095e-04]) 	 loss 1.367E-01 	 horizons 19.0
step 24548 	 return [0.00319886 0.01092272 0.00945087 0.01346573 0.01111257], ([7.3065545e-05 5.6701445e-04 1.0760530e-03 9.5363340e-04 7.7009457e-04]) 	 loss 1.121E-01 	 horizons 19.0
step 24738 	 return [0.00403439 0.00713708 0.00713072 0.00772847 0.0059835 ], ([0.00047232 0.0011794  0.00060944 0.00234789 0.00186337]) 	 loss 1.078E-01 	 horizons 19.0
step 24928 	 return [0.00322366 0.01123936 0.00891355 0.01344631 0.01129922], ([2.9946137e-05 1.6529564e-04 5.4170180e-04 5.0984666e-04 1.6047888e-04]) 	 loss 1.029E-01 	 horizons 19.0
step 25118 	 return [0.00436535 0.01274963 0.00959685 0.0167548  0.00808453], ([0.00019832 0.00178911 0.00105133 0.00193007 0.00199553]) 	 loss 1.235E-01 	 horizons 19.0
step 25308 	 return [0.00328123 0.01340311 0.00878362 0.01506232 0.01065503], ([0.00018973 0.00273117 0.00057506 0.00180628 0.00097354]) 	 loss 1.051E-01 	 horizons 19.0
step 25498 	 return [0.         0.01145104 0.00907744 0.01241922 0.01098129], ([0.         0.0005536  0.00098683 0.00130965 0.00192317]) 	 loss 1.155E-01 	 horizons 19.0
step 25688 	 return [0.00322277 0.01104999 0.00909721 0.01321322 0.01154691], ([2.9505441e-05 3.7534384e-04 2.4158337e-05 1.4312381e-04 4.2758961e-04]) 	 loss 1.092E-01 	 horizons 19.0
step 25878 	 return [0.00357064 0.0133435  0.00915501 0.01365621 0.00930781], ([0.0004598  0.00201643 0.00051729 0.00172753 0.0002341 ]) 	 loss 1.013E-01 	 horizons 19.0
step 26068 	 return [0.00352535 0.01457181 0.00940252 0.01428758 0.00901482], ([0.00022144 0.00154916 0.00071443 0.00143294 0.00140709]) 	 loss 1.086E-01 	 horizons 19.0
step 26258 	 return [0.00335247 0.0134461  0.00917642 0.01318963 0.00886997], ([0.00036481 0.00241243 0.00081439 0.00347597 0.00104651]) 	 loss 9.384E-02 	 horizons 19.0
