step 8460 	 return [0.         0.00833737 0.00617334 0.0010955  0.        ], ([0.         0.00066237 0.00076264 0.00073849 0.        ]) 	 loss 1.615E-01 	 horizons 9.0
step 8550 	 return [0.00074664 0.00757463 0.0043353  0.00088948 0.        ], ([0.0004888  0.00069742 0.00068449 0.00030739 0.        ]) 	 loss 1.429E-01 	 horizons 9.0
step 8640 	 return [0.         0.00795796 0.00560098 0.00185821 0.        ], ([0.         0.00075651 0.00067624 0.00062863 0.        ]) 	 loss 1.379E-01 	 horizons 9.0
step 8730 	 return [0.00197977 0.00695707 0.00353852 0.00167371 0.        ], ([0.00061787 0.00054317 0.00103833 0.00070539 0.        ]) 	 loss 1.464E-01 	 horizons 9.0
step 8820 	 return [0.00064247 0.00784473 0.00409382 0.00120943 0.        ], ([0.00052458 0.00094586 0.00109401 0.00075215 0.        ]) 	 loss 1.466E-01 	 horizons 9.0
step 8910 	 return [0.         0.         0.01079347 0.00261728 0.00029066], ([0.         0.         0.00044591 0.00032063 0.00087198]) 	 loss 1.336E-01 	 horizons 9.0
step 9000 	 return [0.         0.00830962 0.0050877  0.00222356 0.        ], ([0.0000000e+00 0.0000000e+00 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.357E-01 	 horizons 9.0
step 9090 	 return [0.00296942 0.00629572 0.002582   0.0021801  0.        ], ([3.4334091e-04 6.4366299e-04 1.0259821e-05 1.3905593e-05 0.0000000e+00]) 	 loss 1.316E-01 	 horizons 9.0
step 9180 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.507E-01 	 horizons 9.0
step 9270 	 return [0.         0.         0.00443769 0.0055456  0.00445471], ([0.0000000e+00 0.0000000e+00 2.0368398e-05 3.7789346e-06 1.3413520e-03]) 	 loss 1.255E-01 	 horizons 9.0
step 9360 	 return [0.         0.         0.00624019 0.00472766 0.00613237], ([0.         0.         0.00053271 0.00050637 0.00021166]) 	 loss 1.196E-01 	 horizons 9.0
step 9450 	 return [0.         0.00285109 0.00612288 0.0034195  0.00344583], ([0.         0.00351477 0.00114656 0.00130203 0.00284244]) 	 loss 1.074E-01 	 horizons 9.0
step 9540 	 return [0.         0.         0.00605865 0.00407907 0.007182  ], ([0.0000000e+00 0.0000000e+00 9.1051144e-05 1.1615970e-03 1.3096447e-03]) 	 loss 1.193E-01 	 horizons 9.0
step 9630 	 return [0.00248759 0.00690165 0.00282957 0.00203329 0.        ], ([0.00049065 0.0002693  0.00071591 0.00047675 0.        ]) 	 loss 1.167E-01 	 horizons 9.0
step 9720 	 return [0.00093408 0.00840548 0.00277728 0.00121156 0.        ], ([0.00085288 0.00084052 0.00071277 0.00051382 0.        ]) 	 loss 1.308E-01 	 horizons 9.0
