step 24311 	 return [0.00996697 0.01142219 0.01276543], ([7.4630741e-05 1.8944938e-04 2.0632699e-04]) 	 loss 2.047E-01 	 horizons 19.0
step 24501 	 return [0.0099435  0.01149623 0.01247545], ([0.0001325  0.00023493 0.0007028 ]) 	 loss 1.787E-01 	 horizons 19.0
step 24691 	 return [0.00960536 0.01278676 0.01004704], ([0.00050292 0.00135006 0.00151531]) 	 loss 1.838E-01 	 horizons 19.0
step 24881 	 return [0.00990202 0.01207479 0.01186082], ([0.00021609 0.0009896  0.0011618 ]) 	 loss 1.779E-01 	 horizons 19.0
step 25071 	 return [0.00989199 0.01364456 0.0104398 ], ([0.00028684 0.00102605 0.0003133 ]) 	 loss 1.639E-01 	 horizons 19.0
step 25261 	 return [0.00970307 0.01121448 0.01227637], ([0.00043382 0.00067928 0.00122185]) 	 loss 1.886E-01 	 horizons 19.0
step 25451 	 return [0.00993785 0.01148327 0.01279029], ([0.00013074 0.00044746 0.00021804]) 	 loss 1.812E-01 	 horizons 19.0
step 25641 	 return [0.00972615 0.01300838 0.0099824 ], ([0.00028301 0.00111901 0.00111558]) 	 loss 1.832E-01 	 horizons 19.0
step 25831 	 return [0.00995626 0.01140147 0.01217738], ([0.00023894 0.0004016  0.00120895]) 	 loss 1.670E-01 	 horizons 19.0
step 26021 	 return [0.00964362 0.01410707 0.01032659], ([0.00042988 0.0010314  0.00096551]) 	 loss 1.700E-01 	 horizons 19.0
step 26211 	 return [0.00993684 0.01274203 0.01111955], ([0.00024947 0.00068532 0.00107385]) 	 loss 1.579E-01 	 horizons 19.0
step 26401 	 return [0.00977545 0.01105438 0.0119083 ], ([0.00036013 0.00038849 0.00125267]) 	 loss 1.672E-01 	 horizons 19.0
step 26591 	 return [0.00978243 0.01403641 0.01116758], ([0.00064354 0.001439   0.00139321]) 	 loss 1.957E-01 	 horizons 19.0
