step 12510 	 return [0.         0.         0.00285335 0.00293615 0.01263389], ([0.         0.         0.00047312 0.00076679 0.00013554]) 	 loss 9.044E-02 	 horizons 9.0
step 12600 	 return [0.         0.         0.00626883 0.00597693 0.00597108], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 4.656613e-10]) 	 loss 6.551E-02 	 horizons 9.0
step 12690 	 return [0.00154795 0.00750886 0.00325923 0.00164151 0.        ], ([0.00075929 0.00102833 0.00082846 0.00051457 0.        ]) 	 loss 4.886E-02 	 horizons 9.0
step 12780 	 return [0.         0.         0.00490616 0.00516203 0.00509182], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 0.000000e+00]) 	 loss 4.838E-02 	 horizons 9.0
step 12870 	 return [0.00255936 0.00692947 0.00226243 0.00203822 0.        ], ([0.00021503 0.00019645 0.00050002 0.00023145 0.        ]) 	 loss 4.365E-02 	 horizons 9.0
step 12960 	 return [0.         0.         0.00328438 0.00240532 0.01214779], ([0.         0.         0.00022654 0.00089315 0.00100816]) 	 loss 4.579E-02 	 horizons 9.0
step 13050 	 return [0.         0.01021709 0.00207299 0.00111972 0.        ], ([0.         0.00027    0.00028379 0.00039146 0.        ]) 	 loss 4.695E-02 	 horizons 9.0
step 13140 	 return [0.         0.00637278 0.00803068 0.00203914 0.        ], ([0.0000000e+00 3.6414393e-04 6.3374740e-05 2.5582967e-06 0.0000000e+00]) 	 loss 4.911E-02 	 horizons 9.0
step 13230 	 return [0.00010635 0.00856053 0.00399685 0.00112697 0.        ], ([3.1905112e-04 7.1202271e-04 6.8811659e-04 6.1864717e-05 0.0000000e+00]) 	 loss 4.312E-02 	 horizons 9.0
step 13320 	 return [0.         0.00917332 0.00290703 0.0021122  0.        ], ([0.0000000e+00 2.2637007e-05 8.6832064e-04 3.3103913e-04 0.0000000e+00]) 	 loss 4.258E-02 	 horizons 9.0
step 13410 	 return [0.         0.00645717 0.00822916 0.00181687 0.        ], ([0.         0.00089646 0.00071626 0.00045947 0.        ]) 	 loss 4.566E-02 	 horizons 9.0
step 13500 	 return [0.00258942 0.00578367 0.00351508 0.00202241 0.        ], ([1.7479759e-04 7.2248047e-04 4.6245186e-04 8.3895859e-05 0.0000000e+00]) 	 loss 4.076E-02 	 horizons 9.0
