step 16715 	 return [0.00526438 0.01100213 0.0076273  0.01589247 0.00815363], ([0.00144834 0.0009424  0.0012184  0.00183355 0.00266264]) 	 loss 3.177E-01 	 horizons 19.0
step 16905 	 return [0.00330368 0.00852436 0.00987346 0.0121334  0.00788283], ([0.00148019 0.00198258 0.00140869 0.00283592 0.00194057]) 	 loss 3.424E-01 	 horizons 19.0
step 17095 	 return [0.00141707 0.00986305 0.0084493  0.01212846 0.00764861], ([0.00156576 0.00204682 0.00168254 0.00322068 0.00247098]) 	 loss 3.230E-01 	 horizons 19.0
step 17285 	 return [0.00506575 0.00478168 0.00672211 0.01200929 0.00637995], ([0.00152364 0.00144276 0.00115937 0.00142759 0.00178242]) 	 loss 3.188E-01 	 horizons 19.0
step 17475 	 return [0.00320352 0.00834333 0.00860303 0.01282349 0.00927919], ([0.00143591 0.00186065 0.00206131 0.00129385 0.0027571 ]) 	 loss 3.200E-01 	 horizons 19.0
step 17665 	 return [0.00413142 0.0091141  0.00949795 0.01119983 0.00911764], ([0.00083138 0.00070532 0.00150006 0.00090536 0.00205536]) 	 loss 2.954E-01 	 horizons 19.0
step 17855 	 return [0.00418232 0.00871867 0.00983411 0.01171353 0.00916938], ([0.00022832 0.00024673 0.00100586 0.00178252 0.00146995]) 	 loss 2.930E-01 	 horizons 19.0
step 18045 	 return [0.00310746 0.00842673 0.01061692 0.01105353 0.00847185], ([0.00135677 0.00103922 0.00115363 0.0019847  0.00196122]) 	 loss 2.757E-01 	 horizons 19.0
step 18235 	 return [0.00363828 0.00709216 0.00963421 0.00935205 0.00772794], ([0.00174972 0.00200546 0.00108293 0.00224663 0.00221009]) 	 loss 2.749E-01 	 horizons 19.0
step 18425 	 return [0.00568971 0.00565519 0.00754433 0.00782782 0.00506943], ([0.00095187 0.00145148 0.00118067 0.00235672 0.00244749]) 	 loss 2.818E-01 	 horizons 19.0
step 18615 	 return [0.00793144 0.00709776 0.00527008 0.01299128 0.00752592], ([0.00108402 0.00293508 0.00075439 0.0052795  0.00497382]) 	 loss 2.822E-01 	 horizons 19.0
step 18805 	 return [0.00614878 0.00896298 0.00675619 0.0169538  0.00966365], ([0.00190381 0.00145494 0.00167873 0.00223975 0.00301645]) 	 loss 2.657E-01 	 horizons 19.0
step 18995 	 return [0.00407156 0.00936217 0.01005746 0.01142    0.01001274], ([0.00065155 0.00068117 0.00105972 0.00275259 0.00099384]) 	 loss 3.005E-01 	 horizons 19.0
step 19185 	 return [0.00530406 0.00867372 0.00875755 0.01358186 0.00989189], ([0.00035708 0.00039291 0.00069019 0.0014437  0.00139073]) 	 loss 2.689E-01 	 horizons 19.0
step 19375 	 return [0.004283   0.00836601 0.00965272 0.0116149  0.00888478], ([0.00022186 0.00142647 0.00105983 0.00246985 0.00250499]) 	 loss 2.392E-01 	 horizons 19.0
step 19565 	 return [0.00361207 0.0099407  0.00976193 0.01292693 0.00789142], ([0.00111388 0.00127515 0.00123646 0.00208391 0.00211533]) 	 loss 2.572E-01 	 horizons 19.0
step 19755 	 return [0.00333399 0.00901307 0.00933234 0.01442333 0.00957878], ([0.00184219 0.00108219 0.0015135  0.00182287 0.00340696]) 	 loss 2.622E-01 	 horizons 19.0
step 19945 	 return [0.00398865 0.00904154 0.0101777  0.01298567 0.0103111 ], ([0.00049132 0.00059932 0.00049808 0.00196537 0.00202584]) 	 loss 2.488E-01 	 horizons 19.0
step 20135 	 return [0.00439248 0.00892573 0.00970178 0.01156216 0.00797401], ([0.00083669 0.00111609 0.00094714 0.0014614  0.00158595]) 	 loss 2.466E-01 	 horizons 19.0
step 20325 	 return [0.00555074 0.00818155 0.00797839 0.00990306 0.0064129 ], ([0.00066545 0.00133943 0.00066038 0.00212218 0.00148434]) 	 loss 2.242E-01 	 horizons 19.0
step 20515 	 return [0.00381093 0.00950833 0.00923834 0.01395906 0.01157113], ([0.00099723 0.00193416 0.00095431 0.00185799 0.00180304]) 	 loss 2.315E-01 	 horizons 19.0
step 20705 	 return [0.00301978 0.0094474  0.00840328 0.01525765 0.01055945], ([0.00179946 0.00138944 0.00216366 0.00217188 0.00233264]) 	 loss 2.076E-01 	 horizons 19.0
step 20895 	 return [0.00170941 0.0120413  0.00718113 0.01512555 0.01100544], ([0.00140367 0.00112061 0.00126524 0.00170393 0.00132167]) 	 loss 2.080E-01 	 horizons 19.0
step 21085 	 return [0.00332508 0.009724   0.00976714 0.01433878 0.01108931], ([0.00168067 0.001241   0.00083227 0.00194543 0.00280668]) 	 loss 2.115E-01 	 horizons 19.0
step 21275 	 return [0.00441258 0.00834645 0.00943167 0.01114571 0.00805731], ([0.0004771  0.0003874  0.00118106 0.00073818 0.0011255 ]) 	 loss 1.946E-01 	 horizons 19.0
step 21465 	 return [0.00707105 0.00976287 0.00729994 0.00734782 0.005794  ], ([0.0011102  0.00223352 0.00069451 0.00127431 0.00092688]) 	 loss 2.065E-01 	 horizons 19.0
step 21655 	 return [0.00615733 0.00939297 0.00729881 0.01772565 0.00913762], ([0.00114148 0.00080235 0.00145851 0.00141057 0.00228271]) 	 loss 1.865E-01 	 horizons 19.0
step 21845 	 return [0.0041436  0.00894662 0.0096614  0.01488003 0.01246779], ([0.00062134 0.00062077 0.00073066 0.00113947 0.00140532]) 	 loss 2.081E-01 	 horizons 19.0
