step 19798 	 return [0.00755085 0.01162471 0.01019151], ([0.00074511 0.00110166 0.00185447]) 	 loss 3.282E-01 	 horizons 19.0
step 19988 	 return [0.00752103 0.01277905 0.01049459], ([0.0008725  0.00108966 0.00117696]) 	 loss 3.287E-01 	 horizons 19.0
step 20178 	 return [0.00852467 0.01246042 0.00942384], ([0.00083703 0.00141884 0.00177224]) 	 loss 3.459E-01 	 horizons 19.0
step 20368 	 return [0.00848592 0.0126872  0.00898032], ([0.001201   0.00136876 0.00096198]) 	 loss 3.017E-01 	 horizons 19.0
step 20558 	 return [0.00789485 0.01242884 0.00934937], ([0.00122016 0.00106914 0.00120338]) 	 loss 2.748E-01 	 horizons 19.0
step 20748 	 return [0.00855798 0.0118048  0.00987912], ([0.00092009 0.00077459 0.00132607]) 	 loss 3.133E-01 	 horizons 19.0
step 20938 	 return [0.00909998 0.01234698 0.0083294 ], ([0.00050092 0.00099909 0.00127935]) 	 loss 2.752E-01 	 horizons 19.0
step 21128 	 return [0.00902555 0.0125055  0.00940793], ([0.00061844 0.00109051 0.00095897]) 	 loss 2.887E-01 	 horizons 19.0
step 21318 	 return [0.00881406 0.0119242  0.0091968 ], ([0.00083761 0.00062438 0.00120397]) 	 loss 2.755E-01 	 horizons 19.0
step 21508 	 return [0.00915717 0.01146641 0.00919126], ([0.00095782 0.00129238 0.0008492 ]) 	 loss 3.004E-01 	 horizons 19.0
step 21698 	 return [0.00900349 0.01170714 0.00929458], ([0.00072597 0.00070594 0.0011075 ]) 	 loss 2.978E-01 	 horizons 19.0
step 21888 	 return [0.00893395 0.01203916 0.00870941], ([0.00044505 0.00078895 0.0011664 ]) 	 loss 2.975E-01 	 horizons 19.0
step 22078 	 return [0.0091428  0.01132247 0.01029294], ([0.00082906 0.00192034 0.00119257]) 	 loss 2.868E-01 	 horizons 19.0
step 22268 	 return [0.00865523 0.01176839 0.00991005], ([0.00058797 0.00107966 0.00125885]) 	 loss 2.613E-01 	 horizons 19.0
step 22458 	 return [0.00826267 0.01154271 0.00986438], ([0.00104644 0.00097602 0.00074024]) 	 loss 2.579E-01 	 horizons 19.0
step 22648 	 return [0.00875419 0.01304005 0.00927563], ([0.00108087 0.00082153 0.00077621]) 	 loss 2.624E-01 	 horizons 19.0
step 22838 	 return [0.00878361 0.01295487 0.00902716], ([0.00074311 0.00055536 0.00155557]) 	 loss 2.504E-01 	 horizons 19.0
step 23028 	 return [0.00894631 0.01281338 0.00942547], ([0.00095813 0.00073239 0.00154329]) 	 loss 2.495E-01 	 horizons 19.0
step 23218 	 return [0.00850053 0.01271026 0.00946283], ([0.00120144 0.00095321 0.00095402]) 	 loss 2.510E-01 	 horizons 19.0
step 23408 	 return [0.00947749 0.01254582 0.00940907], ([0.00078585 0.0006612  0.00114022]) 	 loss 2.664E-01 	 horizons 19.0
step 23598 	 return [0.00930856 0.0115189  0.00956127], ([0.00073466 0.00066418 0.00062496]) 	 loss 2.427E-01 	 horizons 19.0
step 23788 	 return [0.00961191 0.01205904 0.0095874 ], ([0.00117715 0.00062933 0.00043166]) 	 loss 2.488E-01 	 horizons 19.0
step 23978 	 return [0.00967516 0.01188039 0.00965179], ([0.00067131 0.00053854 0.00053526]) 	 loss 2.325E-01 	 horizons 19.0
step 24168 	 return [0.00936825 0.01186424 0.01047349], ([0.00093119 0.00064202 0.00123518]) 	 loss 2.232E-01 	 horizons 19.0
step 24358 	 return [0.00966239 0.01240778 0.00929711], ([0.00066085 0.00075749 0.00044663]) 	 loss 2.290E-01 	 horizons 19.0
step 24548 	 return [0.00951566 0.01245921 0.00964558], ([0.00071001 0.00085112 0.00042415]) 	 loss 2.140E-01 	 horizons 19.0
step 24738 	 return [0.00885768 0.01137139 0.01015971], ([0.00081119 0.00041733 0.00054051]) 	 loss 2.020E-01 	 horizons 19.0
step 24928 	 return [0.00931949 0.01113392 0.00969165], ([0.00039132 0.0006196  0.00060336]) 	 loss 1.893E-01 	 horizons 19.0
step 25118 	 return [0.00797493 0.01314091 0.01146117], ([0.00060659 0.00062029 0.00073634]) 	 loss 1.820E-01 	 horizons 19.0
step 25308 	 return [0.00951604 0.01273785 0.0095738 ], ([0.00037609 0.00059384 0.0007199 ]) 	 loss 2.046E-01 	 horizons 19.0
step 25498 	 return [0.00983188 0.01277809 0.0095972 ], ([0.00030237 0.00070174 0.00064157]) 	 loss 2.036E-01 	 horizons 19.0
step 25688 	 return [0.00941621 0.01295404 0.00949449], ([0.00079722 0.00082654 0.0003994 ]) 	 loss 2.132E-01 	 horizons 19.0
step 25878 	 return [0.00907335 0.01234084 0.01023829], ([0.00071236 0.00067237 0.00107322]) 	 loss 2.158E-01 	 horizons 19.0
step 26068 	 return [0.01007739 0.01260084 0.00968041], ([0.00049904 0.00055233 0.00049759]) 	 loss 1.956E-01 	 horizons 19.0
step 26258 	 return [0.00945763 0.01258532 0.01024439], ([0.00091182 0.00058083 0.00068254]) 	 loss 2.011E-01 	 horizons 19.0
step 26448 	 return [0.00991345 0.01270396 0.00946676], ([0.00067668 0.00070625 0.00095084]) 	 loss 1.884E-01 	 horizons 19.0
step 26638 	 return [0.00787851 0.01321278 0.0108986 ], ([0.00045507 0.00073761 0.00080137]) 	 loss 1.931E-01 	 horizons 19.0
step 26828 	 return [0.00990259 0.01254232 0.01003911], ([0.0004771  0.00076631 0.00059991]) 	 loss 1.954E-01 	 horizons 19.0
step 27018 	 return [0.00973989 0.01281735 0.00986508], ([0.00059215 0.00053761 0.00051735]) 	 loss 1.613E-01 	 horizons 19.0
step 27208 	 return [0.00952885 0.01327196 0.00973176], ([0.00048878 0.00077813 0.00071372]) 	 loss 1.668E-01 	 horizons 19.0
step 27398 	 return [0.00956453 0.01259881 0.01025828], ([0.0003787  0.00035118 0.00051424]) 	 loss 1.657E-01 	 horizons 19.0
step 27588 	 return [0.01016086 0.01255315 0.0097133 ], ([0.00037901 0.00055163 0.00031821]) 	 loss 1.830E-01 	 horizons 19.0
step 27778 	 return [0.00947624 0.01295661 0.00981778], ([0.0003493  0.00026421 0.00048395]) 	 loss 1.654E-01 	 horizons 19.0
step 27968 	 return [0.00957038 0.01348179 0.00968751], ([0.00034373 0.00058972 0.00045543]) 	 loss 1.560E-01 	 horizons 19.0
step 28158 	 return [0.01007582 0.01339066 0.00934952], ([0.00068074 0.00056486 0.00070836]) 	 loss 1.430E-01 	 horizons 19.0
step 28348 	 return [0.00880607 0.01300782 0.01052297], ([0.00087294 0.00078809 0.00106755]) 	 loss 1.594E-01 	 horizons 19.0
step 28538 	 return [0.0095746  0.01304421 0.01012439], ([0.00033898 0.000412   0.00048769]) 	 loss 1.637E-01 	 horizons 19.0
step 28728 	 return [0.01008024 0.01164959 0.01004513], ([0.00042272 0.00046099 0.00064585]) 	 loss 1.556E-01 	 horizons 19.0
step 28918 	 return [0.01031139 0.01234212 0.00953647], ([0.00041071 0.00052994 0.00042887]) 	 loss 1.366E-01 	 horizons 19.0
step 29108 	 return [0.00998265 0.01313528 0.00966805], ([0.00052554 0.00043552 0.00043203]) 	 loss 1.351E-01 	 horizons 19.0
step 29298 	 return [0.00945459 0.01304888 0.00999834], ([0.00021525 0.00040536 0.00046471]) 	 loss 1.267E-01 	 horizons 19.0
step 29488 	 return [0.00895591 0.01235852 0.01013696], ([0.00025035 0.0003482  0.00103925]) 	 loss 1.410E-01 	 horizons 19.0
step 29678 	 return [0.00944425 0.0128478  0.01031957], ([0.00033313 0.00028178 0.00048809]) 	 loss 1.372E-01 	 horizons 19.0
step 29868 	 return [0.00949222 0.01381032 0.00923645], ([0.00060287 0.00065252 0.00093639]) 	 loss 1.263E-01 	 horizons 19.0
step 30058 	 return [0.00841046 0.01361773 0.01042084], ([0.00073947 0.00065219 0.00129361]) 	 loss 1.430E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-temporal__1024__1781487421[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/xnahmt3z[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_033701-xnahmt3z/logs[0m
