step 7290 	 return [0.00306711 0.00279065 0.00069212], ([0.00048478 0.00035128 0.00045654]) 	 loss 3.137E-01 	 horizons 9.0
step 7380 	 return [0.0028871  0.00344035 0.00019316], ([0.00048745 0.00032346 0.00038639]) 	 loss 3.220E-01 	 horizons 9.0
step 7470 	 return [0.00288223 0.00430819 0.        ], ([0.00071483 0.00024976 0.        ]) 	 loss 3.045E-01 	 horizons 9.0
step 7560 	 return [0.         0.00390399 0.00571085], ([0.         0.0005628  0.00021818]) 	 loss 3.345E-01 	 horizons 9.0
step 7650 	 return [0.         0.00495857 0.00542298], ([0.0000000e+00 4.0623170e-05 1.0122918e-05]) 	 loss 2.875E-01 	 horizons 9.0
step 7740 	 return [0.00314613 0.00254673 0.0009057 ], ([0.00041015 0.00016654 0.00016021]) 	 loss 2.613E-01 	 horizons 9.0
step 7830 	 return [0.0032035  0.00282297 0.00064956], ([0.00033339 0.00038048 0.00033434]) 	 loss 2.623E-01 	 horizons 9.0
step 7920 	 return [0.00284968 0.0028387  0.00062394], ([0.00028275 0.00025607 0.00032055]) 	 loss 2.612E-01 	 horizons 9.0
step 8010 	 return [0.         0.0032671  0.00590332], ([0.         0.00028504 0.00023399]) 	 loss 2.533E-01 	 horizons 9.0
step 8100 	 return [0.00320102 0.00313938 0.00073893], ([0.00046157 0.00040329 0.00037794]) 	 loss 2.360E-01 	 horizons 9.0
step 8190 	 return [0.         0.00330762 0.00596606], ([0.         0.00021549 0.00017266]) 	 loss 2.425E-01 	 horizons 9.0
step 8280 	 return [0.00314103 0.00267308 0.00080857], ([0.00047577 0.00029943 0.00028112]) 	 loss 2.213E-01 	 horizons 9.0
step 8370 	 return [0.00305329 0.00259629 0.00085894], ([0.00028463 0.00027551 0.00016214]) 	 loss 2.284E-01 	 horizons 9.0
step 8460 	 return [0.00304961 0.00335768 0.00064511], ([0.00050206 0.00035372 0.00043002]) 	 loss 1.850E-01 	 horizons 9.0
step 8550 	 return [0.00302894 0.00277788 0.00090233], ([0.00022058 0.00019292 0.00015366]) 	 loss 1.752E-01 	 horizons 9.0
step 8640 	 return [0.00342157 0.00242946 0.00077554], ([5.2931521e-04 3.4891465e-04 5.3807697e-05]) 	 loss 1.921E-01 	 horizons 9.0
step 8730 	 return [0.00318704 0.00281761 0.00082672], ([0.00021917 0.00028442 0.00014145]) 	 loss 1.943E-01 	 horizons 9.0
step 8820 	 return [0.00321161 0.00320792 0.00058604], ([0.00033823 0.00038203 0.00047853]) 	 loss 1.768E-01 	 horizons 9.0
step 8910 	 return [0.         0.00286512 0.00599869], ([0.         0.00025191 0.00029339]) 	 loss 1.919E-01 	 horizons 9.0
step 9000 	 return [0.00367782 0.00316454 0.00085681], ([0.00059487 0.00014247 0.00010333]) 	 loss 1.701E-01 	 horizons 9.0
step 9090 	 return [0.00334387 0.00416952 0.00029856], ([0.00062301 0.00010226 0.00045606]) 	 loss 1.727E-01 	 horizons 9.0
step 9180 	 return [0.         0.00496873 0.00542552], ([0.0000000e+00 3.0467376e-05 7.5921894e-06]) 	 loss 1.715E-01 	 horizons 9.0
step 9270 	 return [0.         0.00496698 0.00518317], ([0.         0.00014188 0.00069256]) 	 loss 1.626E-01 	 horizons 9.0
step 9360 	 return [0.00383308 0.00230917 0.00070827], ([0.00038029 0.00024697 0.00013459]) 	 loss 1.536E-01 	 horizons 9.0
step 9450 	 return [0.00380531 0.00286873 0.00090131], ([0.00045167 0.00039592 0.00036001]) 	 loss 1.730E-01 	 horizons 9.0
step 9540 	 return [0.         0.00494842 0.00542045], ([0.0000000e+00 4.6539688e-05 1.1597259e-05]) 	 loss 1.463E-01 	 horizons 9.0
step 9630 	 return [0.00349333 0.00322632 0.00079248], ([0.00022939 0.00043125 0.00028557]) 	 loss 1.404E-01 	 horizons 9.0
step 9720 	 return [0.00349466 0.00362507 0.0007881 ], ([0.00036227 0.00040048 0.00039408]) 	 loss 1.351E-01 	 horizons 9.0
step 9810 	 return [0.         0.0044655  0.00564886], ([0.         0.00053453 0.00030353]) 	 loss 1.278E-01 	 horizons 9.0
step 9900 	 return [0.00328795 0.00300423 0.0010467 ], ([0.00055942 0.00031024 0.00016422]) 	 loss 1.374E-01 	 horizons 9.0
step 9990 	 return [0.         0.00340326 0.00605308], ([0.         0.00034596 0.00016611]) 	 loss 1.268E-01 	 horizons 9.0
step 10080 	 return [0.00310461 0.00330927 0.000959  ], ([5.8103527e-04 1.0410108e-04 7.0405826e-05]) 	 loss 1.080E-01 	 horizons 9.0
step 10170 	 return [0.00364096 0.00321531 0.00071705], ([0.00043093 0.00012912 0.00027394]) 	 loss 1.038E-01 	 horizons 9.0
step 10260 	 return [0.         0.00358294 0.00619132], ([0.0000000e+00 2.2265986e-04 7.8118959e-05]) 	 loss 9.624E-02 	 horizons 9.0
step 10350 	 return [0.00359786 0.00340258 0.00075705], ([0.00010933 0.00033308 0.00038479]) 	 loss 1.082E-01 	 horizons 9.0
step 10440 	 return [0.         0.00493826 0.00541792], ([0.0000000e+00 4.9753024e-05 1.2397991e-05]) 	 loss 1.133E-01 	 horizons 9.0
step 10530 	 return [0.         0.00357408 0.00615472], ([0.0000000e+00 2.1890359e-04 9.2741298e-05]) 	 loss 1.055E-01 	 horizons 9.0
step 10620 	 return [0.00347379 0.00315726 0.00079069], ([0.00043537 0.00024656 0.0001932 ]) 	 loss 1.092E-01 	 horizons 9.0
step 10710 	 return [0.00347812 0.00317543 0.00085129], ([0.00043305 0.00019636 0.00017034]) 	 loss 1.342E-01 	 horizons 9.0
step 10800 	 return [0.00326116 0.00342196 0.00093759], ([4.8783678e-04 3.0550681e-04 9.5046809e-05]) 	 loss 1.080E-01 	 horizons 9.0
step 10890 	 return [0.         0.00381253 0.00608982], ([0.         0.00038997 0.00028461]) 	 loss 1.312E-01 	 horizons 9.0
step 10980 	 return [0.         0.0049281  0.00541539], ([0.0000000e+00 5.0778970e-05 1.2653648e-05]) 	 loss 1.134E-01 	 horizons 9.0
step 11070 	 return [0.         0.00491795 0.00541286], ([0.0000000e+00 4.9753024e-05 1.2397993e-05]) 	 loss 1.041E-01 	 horizons 9.0
step 11160 	 return [0.00362972 0.00328907 0.00091117], ([1.0801512e-04 2.5647865e-05 1.5168525e-04]) 	 loss 8.226E-02 	 horizons 9.0
step 11250 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 7.490E-02 	 horizons 9.0
step 11340 	 return [0.00346564 0.00379402 0.00059167], ([0.00035162 0.00040664 0.00048312]) 	 loss 6.409E-02 	 horizons 9.0
step 11430 	 return [0.00375892 0.00328581 0.00097655], ([2.2568998e-04 4.8240512e-05 1.6799375e-05]) 	 loss 6.487E-02 	 horizons 9.0
step 11520 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.232E-02 	 horizons 9.0
step 11610 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 3.433E-02 	 horizons 9.0
