step 14400 	 return [0.00285769 0.00526372 0.        ], ([0.00010489 0.00029622 0.        ]) 	 loss 2.198E-02 	 horizons 9.0
step 14490 	 return [0.         0.00640973 0.00459175], ([0.         0.00047695 0.00027877]) 	 loss 3.298E-02 	 horizons 9.0
step 14580 	 return [0.0009568  0.00375928 0.00367655], ([0.00015945 0.00015686 0.00034473]) 	 loss 3.575E-02 	 horizons 9.0
step 14670 	 return [0.00210184 0.00375135 0.00189431], ([0.00083098 0.00035344 0.00109911]) 	 loss 3.089E-02 	 horizons 9.0
step 14760 	 return [0.00111954 0.00359918 0.00332471], ([9.764222e-05 9.605913e-05 2.111002e-04]) 	 loss 4.109E-02 	 horizons 9.0
step 14850 	 return [0.00436076 0.00315716 0.00093176], ([2.2569000e-04 4.8240512e-05 1.6799377e-05]) 	 loss 3.570E-02 	 horizons 9.0
step 14940 	 return [0.00074395 0.003997   0.00411253], ([0.00024798 0.00032893 0.00046356]) 	 loss 3.797E-02 	 horizons 9.0
step 15030 	 return [0.         0.00605102 0.00373347], ([0.         0.00051787 0.00078196]) 	 loss 2.347E-02 	 horizons 9.0
step 15120 	 return [0.00404079 0.00344467 0.00066246], ([0.00035715 0.00027603 0.00043412]) 	 loss 1.030E-01 	 horizons 9.0
step 15210 	 return [0.         0.00365643 0.00581023], ([0.         0.00027602 0.00094639]) 	 loss 1.907E-02 	 horizons 9.0
step 15300 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.049E-02 	 horizons 9.0
step 15390 	 return [0.         0.00373639 0.00629547], ([0.0000000e+00 6.8202811e-05 3.8007202e-04]) 	 loss 1.548E-02 	 horizons 9.0
step 15480 	 return [0.         0.00485381 0.005511  ], ([0.         0.00037687 0.00022492]) 	 loss 2.748E-02 	 horizons 9.0
step 15570 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 5.492E-02 	 horizons 9.0
step 15660 	 return [0.00443599 0.00314108 0.00092616], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 2.292E-02 	 horizons 9.0
step 15750 	 return [0.         0.00374057 0.00662535], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 1.318E-02 	 horizons 9.0
step 15840 	 return [0.00341268 0.0035233  0.00098658], ([4.1396826e-04 3.3821427e-04 6.7535088e-06]) 	 loss 1.107E-02 	 horizons 9.0
step 15930 	 return [0.         0.00386489 0.00651314], ([0.         0.00037296 0.00033664]) 	 loss 1.321E-02 	 horizons 9.0
step 16020 	 return [0.00375892 0.00328581 0.00097655], ([2.2568998e-04 4.8240512e-05 1.6799375e-05]) 	 loss 9.864E-03 	 horizons 9.0
step 16110 	 return [0.00419756 0.00324933 0.00093883], ([3.6568765e-04 2.2659515e-04 2.2096594e-05]) 	 loss 1.458E-02 	 horizons 9.0
step 16200 	 return [0.00436076 0.00315716 0.00093176], ([2.2569002e-04 4.8240512e-05 1.6799375e-05]) 	 loss 1.343E-02 	 horizons 9.0
step 16290 	 return [0.         0.00423322 0.006137  ], ([0.         0.00061297 0.00052989]) 	 loss 9.201E-03 	 horizons 9.0
step 16380 	 return [0.00049597 0.00423598 0.00446502], ([0.00040496 0.00084991 0.00076024]) 	 loss 1.138E-02 	 horizons 9.0
step 16470 	 return [0.00413507 0.0032054  0.00094856], ([3.6855022e-04 7.8776415e-05 2.7433269e-05]) 	 loss 1.796E-02 	 horizons 9.0
step 16560 	 return [0.         0.00367968 0.00518033], ([0.         0.00026707 0.00078768]) 	 loss 1.119E-02 	 horizons 9.0
step 16650 	 return [0.00436076 0.00315716 0.00093176], ([2.2569000e-04 4.8240512e-05 1.6799377e-05]) 	 loss 1.378E-02 	 horizons 9.0
step 16740 	 return [0.         0.00374057 0.00662535], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 1.259E-02 	 horizons 9.0
step 16830 	 return [0.         0.00374057 0.00662535], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 9.212E-03 	 horizons 9.0
step 16920 	 return [0.00375892 0.00328581 0.00097655], ([2.2569000e-04 4.8240508e-05 1.6799377e-05]) 	 loss 1.098E-02 	 horizons 9.0
step 17010 	 return [0.00443599 0.00314108 0.00092616], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 1.426E-02 	 horizons 9.0
step 17100 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 1.031E-02 	 horizons 9.0
