step 13680 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.667E-02 	 horizons 9.0
step 13770 	 return [0.00354902 0.00386549 0.00093517], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 3.147E-02 	 horizons 9.0
step 13860 	 return [0.00434355 0.00321155 0.000927  ], ([2.7732199e-04 2.1140165e-04 2.5175045e-06]) 	 loss 1.945E-02 	 horizons 9.0
step 13950 	 return [0.00252396 0.00475476 0.00086422], ([9.4806455e-05 5.7053938e-05 2.8807236e-04]) 	 loss 2.435E-02 	 horizons 9.0
step 14040 	 return [0.         0.00500003 0.00529379], ([0.         0.00030833 0.00035852]) 	 loss 2.157E-02 	 horizons 9.0
step 14130 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.823E-02 	 horizons 9.0
step 14220 	 return [0.00441994 0.00305905 0.00095342], ([4.8133639e-05 2.4609527e-04 8.1807040e-05]) 	 loss 1.751E-02 	 horizons 9.0
step 14310 	 return [0.         0.00492295 0.00538342], ([0.         0.00023124 0.00026889]) 	 loss 1.289E-02 	 horizons 9.0
step 14400 	 return [0.0012588  0.0051546  0.00191438], ([0.00107224 0.00045245 0.00180935]) 	 loss 1.315E-02 	 horizons 9.0
step 14490 	 return [0.         0.00284551 0.00695774], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 2.591E-02 	 horizons 9.0
step 14580 	 return [0.         0.00381134 0.00608604], ([0.0000000e+00 5.0259569e-05 8.5903754e-05]) 	 loss 1.092E-02 	 horizons 9.0
step 14670 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.195E-02 	 horizons 9.0
step 14760 	 return [0.         0.00484586 0.00547305], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.178E-02 	 horizons 9.0
step 14850 	 return [0.00441994 0.00305905 0.00095342], ([4.8133639e-05 2.4609524e-04 8.1807040e-05]) 	 loss 2.277E-02 	 horizons 9.0
