step 8460 	 return [0.00066965 0.00765129 0.00294895 0.00214244 0.        ], ([0.00102291 0.00104761 0.00052297 0.00010551 0.        ]) 	 loss 7.017E-02 	 horizons 9.0
step 8550 	 return [0.00222919 0.00730185 0.00258589 0.00218427 0.        ], ([1.3325670e-05 1.2863135e-04 3.9200031e-06 5.6729727e-06 0.0000000e+00]) 	 loss 5.659E-02 	 horizons 9.0
step 8640 	 return [0.00282639 0.00661528 0.00257808 0.00217404 0.        ], ([6.0590415e-04 6.0325651e-04 5.3091208e-06 6.6488283e-06 0.0000000e+00]) 	 loss 3.103E-02 	 horizons 9.0
step 8730 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 3.534E-02 	 horizons 9.0
step 8820 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 2.945E-02 	 horizons 9.0
step 8910 	 return [0.00331425 0.00616527 0.0025749  0.00217031 0.        ], ([3.5414100e-04 4.5974070e-04 6.3717134e-06 8.7420458e-06 0.0000000e+00]) 	 loss 2.725E-02 	 horizons 9.0
step 9000 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.424E-02 	 horizons 9.0
step 9090 	 return [0.         0.00614261 0.00580067 0.00246931 0.        ], ([0.         0.00146694 0.00307985 0.00071702 0.        ]) 	 loss 1.035E-02 	 horizons 9.0
step 9180 	 return [0.00225147 0.00753725 0.00259367 0.00219595 0.        ], ([1.0466202e-06 2.1705911e-05 1.0296470e-06 1.7608285e-06 0.0000000e+00]) 	 loss 4.726E-02 	 horizons 9.0
step 9270 	 return [0.00248408 0.00719093 0.00258802 0.00218795 0.        ], ([4.74190572e-04 5.96958329e-04 8.24012295e-06 1.13179485e-05
