step 14760 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 5.492E-02 	 horizons 9.0
step 14850 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 5.881E-02 	 horizons 9.0
step 14940 	 return [0.00100925 0.00291729 0.00405832], ([0.00014983 0.00024948 0.00037441]) 	 loss 3.461E-02 	 horizons 9.0
step 15030 	 return [0.         0.00448544 0.00601538], ([0.         0.00034515 0.00044276]) 	 loss 4.283E-02 	 horizons 9.0
step 15120 	 return [0.         0.00506749 0.00519737], ([0.         0.00028189 0.00044673]) 	 loss 4.826E-02 	 horizons 9.0
step 15210 	 return [0.         0.005129   0.00509989], ([0.         0.00030136 0.00047758]) 	 loss 3.911E-02 	 horizons 9.0
step 15300 	 return [0.         0.00481518 0.0055799 ], ([0.         0.0002033  0.00027022]) 	 loss 3.080E-02 	 horizons 9.0
step 15390 	 return [8.1188264e-05 2.8560041e-03 6.6894777e-03], ([2.4356476e-04 7.7473582e-05 6.8476057e-04]) 	 loss 4.648E-02 	 horizons 9.0
step 15480 	 return [0.         0.00500598 0.00529486], ([0.         0.00024606 0.00038994]) 	 loss 2.789E-02 	 horizons 9.0
step 15570 	 return [0.0008434  0.00305643 0.00456608], ([9.4547126e-05 9.5975105e-05 2.0735363e-04]) 	 loss 3.262E-02 	 horizons 9.0
step 15660 	 return [0.00082514 0.00380747 0.00402573], ([4.4195854e-06 2.3968055e-04 2.0315482e-04]) 	 loss 2.663E-02 	 horizons 9.0
step 15750 	 return [0.00305003 0.00381117 0.00099133], ([4.1483386e-04 3.3369279e-04 6.3819321e-06]) 	 loss 2.016E-02 	 horizons 9.0
step 15840 	 return [0.0041126  0.0031942  0.00094818], ([3.5020773e-04 8.7922243e-05 2.7740154e-05]) 	 loss 2.704E-02 	 horizons 9.0
step 15930 	 return [0.         0.00434083 0.00621041], ([0.         0.00027106 0.00036029]) 	 loss 2.505E-02 	 horizons 9.0
step 16020 	 return [0.00286543 0.00393673 0.00099084], ([2.7276072e-04 2.1189891e-04 3.3607730e-06]) 	 loss 1.206E-02 	 horizons 9.0
step 16110 	 return [0.00286477 0.00393306 0.00099027], ([2.7297222e-04 2.1039085e-04 2.7054343e-06]) 	 loss 2.281E-02 	 horizons 9.0
step 16200 	 return [0.00082219 0.00364768 0.00416117], ([6.7510282e-06 3.6611804e-04 3.1032413e-04]) 	 loss 3.080E-02 	 horizons 9.0
step 16290 	 return [0.00375517 0.00328394 0.00097649], ([2.1445754e-04 5.3841155e-05 1.6987306e-05]) 	 loss 2.296E-02 	 horizons 9.0
step 16380 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.902E-02 	 horizons 9.0
step 16470 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.521E-02 	 horizons 9.0
step 16560 	 return [0.         0.00488295 0.00548983], ([0. 0. 0.]) 	 loss 2.137E-02 	 horizons 9.0
step 16650 	 return [0.         0.00488295 0.00548983], ([0. 0. 0.]) 	 loss 1.671E-02 	 horizons 9.0
step 16740 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.813E-02 	 horizons 9.0
step 16830 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 2.052E-02 	 horizons 9.0
step 16920 	 return [0.         0.00442778 0.00610798], ([0.         0.00034075 0.00043194]) 	 loss 2.101E-02 	 horizons 9.0
step 17010 	 return [0.00016238 0.00288183 0.00646122], ([0.00032475 0.0001033  0.00091301]) 	 loss 1.370E-02 	 horizons 9.0
step 17100 	 return [0.00115209 0.00356716 0.00325435], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.367E-02 	 horizons 9.0
