step 10890 	 return [0.         0.         0.00611587 0.00428999 0.00877269], ([0.0000000e+00 0.0000000e+00 4.1132051e-05 8.4037869e-04 1.0737955e-03]) 	 loss 1.164E-01 	 horizons 9.0
step 10980 	 return [0.00203806 0.00615042 0.00245495 0.00146414 0.        ], ([0.00069114 0.0006371  0.00040695 0.00012297 0.        ]) 	 loss 1.191E-01 	 horizons 9.0
step 11070 	 return [0.         0.0089057  0.00450289 0.00168563 0.        ], ([0.         0.00058606 0.00066834 0.00011207 0.        ]) 	 loss 1.157E-01 	 horizons 9.0
step 11160 	 return [0.         0.00202971 0.00773942 0.00335514 0.00085649], ([0.         0.00216589 0.00057601 0.00064015 0.00130831]) 	 loss 1.196E-01 	 horizons 9.0
step 11250 	 return [0.         0.         0.00615583 0.00447461 0.00854405], ([0.0000000e+00 0.0000000e+00 2.1171765e-05 2.0517965e-04 2.6183011e-04]) 	 loss 1.178E-01 	 horizons 9.0
step 11340 	 return [0.00310462 0.00650897 0.0017583  0.00119359 0.        ], ([2.9007971e-04 2.6430920e-04 8.5410968e-05 1.6565218e-04 0.0000000e+00]) 	 loss 1.205E-01 	 horizons 9.0
step 11430 	 return [0.00347856 0.00614619 0.00099939 0.00136018 0.        ], ([0.00018266 0.00094225 0.0005252  0.00016807 0.        ]) 	 loss 1.409E-01 	 horizons 9.0
step 11520 	 return [0.         0.         0.00600188 0.00249657 0.01055043], ([0.0000000e+00 0.0000000e+00 4.2307261e-06 3.8802507e-04 8.3512469e-04]) 	 loss 1.214E-01 	 horizons 9.0
step 11610 	 return [0.00251459 0.00545645 0.00265466 0.00147464 0.        ], ([1.9630291e-04 3.1246786e-04 7.8229800e-07 4.2273115e-07 0.0000000e+00]) 	 loss 1.338E-01 	 horizons 9.0
step 11700 	 return [0.0002126  0.00692952 0.00322714 0.00146681 0.        ], ([0.00042519 0.00064146 0.00068121 0.00017584 0.        ]) 	 loss 1.297E-01 	 horizons 9.0
step 11790 	 return [0.00135766 0.00687251 0.0018522  0.00123226 0.        ], ([0.00112632 0.00062937 0.00028134 0.00018169 0.        ]) 	 loss 1.101E-01 	 horizons 9.0
step 11880 	 return [0.00207164 0.00575253 0.00248396 0.00140949 0.        ], ([0.00104354 0.00085495 0.00034081 0.00012998 0.        ]) 	 loss 1.285E-01 	 horizons 9.0
step 11970 	 return [0.         0.00694113 0.00681977 0.00175654 0.        ], ([0.         0.00121844 0.00012718 0.00077027 0.        ]) 	 loss 1.121E-01 	 horizons 9.0
step 12060 	 return [0.         0.         0.00601958 0.00215392 0.01150482], ([0.0000000e+00 0.0000000e+00 5.0767329e-05 7.5101206e-04 9.5753727e-04]) 	 loss 1.383E-01 	 horizons 9.0
