step 18293 	 return [0.00727328 0.01111746 0.00924992], ([0.00089154 0.00116397 0.00092269]) 	 loss 4.441E-01 	 horizons 19.0
step 18483 	 return [0.0076304  0.01082395 0.00885616], ([0.00070142 0.00108559 0.00138549]) 	 loss 4.273E-01 	 horizons 19.0
step 18673 	 return [0.00645577 0.0114062  0.00985389], ([0.00128678 0.0007679  0.00156344]) 	 loss 4.064E-01 	 horizons 19.0
step 18863 	 return [0.00755034 0.01111023 0.0088668 ], ([0.00092583 0.00107984 0.00191805]) 	 loss 4.197E-01 	 horizons 19.0
step 19053 	 return [0.00810666 0.01085014 0.00821037], ([0.0008703  0.00088999 0.0021438 ]) 	 loss 4.255E-01 	 horizons 19.0
step 19243 	 return [0.00837542 0.01140314 0.00878631], ([0.00087142 0.00129459 0.0010213 ]) 	 loss 4.154E-01 	 horizons 19.0
step 19433 	 return [0.00737879 0.01016526 0.00978475], ([0.0011739  0.00075615 0.00117011]) 	 loss 4.045E-01 	 horizons 19.0
step 19623 	 return [0.00774855 0.01052975 0.00764552], ([0.0012544  0.0009191  0.00136951]) 	 loss 3.943E-01 	 horizons 19.0
step 19813 	 return [0.00828295 0.01173954 0.00921166], ([0.00062584 0.00095809 0.00148436]) 	 loss 3.835E-01 	 horizons 19.0
step 20003 	 return [0.00796657 0.01157678 0.0098174 ], ([0.00066925 0.00076552 0.00088597]) 	 loss 3.768E-01 	 horizons 19.0
step 20193 	 return [0.01079586 0.01037719 0.00546533], ([0.00205089 0.00102538 0.00157524]) 	 loss 3.818E-01 	 horizons 19.0
step 20383 	 return [0.00787285 0.01117613 0.00968082], ([0.0005193  0.0005381  0.00104712]) 	 loss 3.820E-01 	 horizons 19.0
step 20573 	 return [0.00830361 0.01118381 0.00900239], ([0.00065648 0.00088909 0.00097897]) 	 loss 3.625E-01 	 horizons 19.0
step 20763 	 return [0.00823086 0.01124821 0.00843085], ([0.00036967 0.00077107 0.00153127]) 	 loss 3.470E-01 	 horizons 19.0
step 20953 	 return [0.00785998 0.01142751 0.00961457], ([0.00050412 0.00055172 0.00087347]) 	 loss 3.683E-01 	 horizons 19.0
step 21143 	 return [0.00785118 0.0110924  0.00963983], ([0.00054484 0.0012001  0.0011095 ]) 	 loss 3.733E-01 	 horizons 19.0
step 21333 	 return [0.00824681 0.01084297 0.00903889], ([0.00140595 0.00101824 0.00142248]) 	 loss 3.600E-01 	 horizons 19.0
step 21523 	 return [0.00705254 0.01121224 0.01085832], ([0.00067088 0.00084657 0.00117558]) 	 loss 3.464E-01 	 horizons 19.0
step 21713 	 return [0.00781303 0.01173589 0.01001881], ([0.00078334 0.00128906 0.00134153]) 	 loss 3.404E-01 	 horizons 19.0
step 21903 	 return [0.00757097 0.01138542 0.01088286], ([0.00058915 0.0009734  0.00100726]) 	 loss 3.316E-01 	 horizons 19.0
step 22093 	 return [0.00828865 0.01169661 0.00994007], ([0.00069545 0.00070671 0.0010895 ]) 	 loss 3.350E-01 	 horizons 19.0
step 22283 	 return [0.00887688 0.01080386 0.00878459], ([0.00099878 0.00047413 0.00089069]) 	 loss 3.316E-01 	 horizons 19.0
step 22473 	 return [0.00794633 0.01192269 0.00974045], ([0.00060163 0.00060171 0.00083064]) 	 loss 3.374E-01 	 horizons 19.0
step 22663 	 return [0.00825169 0.01198698 0.01021112], ([0.00035974 0.00060355 0.000691  ]) 	 loss 3.216E-01 	 horizons 19.0
step 22853 	 return [0.00824913 0.01111801 0.00985467], ([0.00042455 0.00058533 0.0009561 ]) 	 loss 2.919E-01 	 horizons 19.0
step 23043 	 return [0.0079908  0.01163673 0.01033704], ([0.00056776 0.00051514 0.00098735]) 	 loss 2.895E-01 	 horizons 19.0
step 23233 	 return [0.00695491 0.01154734 0.01146244], ([0.00063431 0.00050278 0.00073595]) 	 loss 3.058E-01 	 horizons 19.0
step 23423 	 return [0.00779785 0.01149145 0.01039174], ([0.00050301 0.00059295 0.00090648]) 	 loss 2.746E-01 	 horizons 19.0
step 23613 	 return [0.00767034 0.01160945 0.01032037], ([0.00082238 0.00080855 0.00141034]) 	 loss 2.802E-01 	 horizons 19.0
step 23803 	 return [0.00834242 0.01164196 0.01051131], ([0.0003794  0.00100406 0.00081496]) 	 loss 2.677E-01 	 horizons 19.0
step 23993 	 return [0.00731807 0.01146028 0.01084133], ([0.00108475 0.00035052 0.00128761]) 	 loss 2.729E-01 	 horizons 19.0
step 24183 	 return [0.00902105 0.01072801 0.00897242], ([0.00108051 0.00081833 0.00096058]) 	 loss 2.716E-01 	 horizons 19.0
step 24373 	 return [0.00750425 0.0115643  0.01119229], ([0.00074014 0.00041959 0.00103196]) 	 loss 2.662E-01 	 horizons 19.0
step 24563 	 return [0.00834722 0.0114184  0.00973309], ([0.00044421 0.00052772 0.00141868]) 	 loss 2.350E-01 	 horizons 19.0
step 24753 	 return [0.00838803 0.01121951 0.01093268], ([0.00034755 0.00065842 0.00040927]) 	 loss 2.661E-01 	 horizons 19.0
step 24943 	 return [0.0086963  0.01154925 0.00991485], ([0.00046318 0.0004987  0.00065912]) 	 loss 2.372E-01 	 horizons 19.0
step 25133 	 return [0.00782542 0.01145312 0.01081308], ([0.00045988 0.00067268 0.00105083]) 	 loss 2.392E-01 	 horizons 19.0
step 25323 	 return [0.00807249 0.01127183 0.01096085], ([0.0003599  0.00056411 0.00089494]) 	 loss 2.341E-01 	 horizons 19.0
step 25513 	 return [0.00852687 0.0111299  0.01018165], ([0.00081922 0.00091169 0.00084861]) 	 loss 2.373E-01 	 horizons 19.0
