step 17870 	 return [0.00931381 0.01047944 0.01079093], ([0.00082282 0.00167289 0.00306178]) 	 loss 3.079E-01 	 horizons 19.0
step 18060 	 return [0.00775012 0.01171482 0.00938712], ([0.00095818 0.00058205 0.00194139]) 	 loss 3.124E-01 	 horizons 19.0
step 18250 	 return [0.00733154 0.01168656 0.0093031 ], ([0.00103437 0.00174984 0.00283996]) 	 loss 3.200E-01 	 horizons 19.0
step 18440 	 return [0.00815641 0.01203525 0.00963071], ([0.0006761  0.00095638 0.00168222]) 	 loss 2.981E-01 	 horizons 19.0
step 18630 	 return [0.00835114 0.01070007 0.01160651], ([0.00112655 0.00145323 0.00196129]) 	 loss 3.197E-01 	 horizons 19.0
step 18820 	 return [0.00880983 0.01082187 0.01126364], ([0.00069309 0.00162067 0.00211491]) 	 loss 2.842E-01 	 horizons 19.0
step 19010 	 return [0.00838657 0.01074598 0.01061417], ([0.00092891 0.00138163 0.00180122]) 	 loss 2.895E-01 	 horizons 19.0
step 19200 	 return [0.00943751 0.01063047 0.01187714], ([0.0006228  0.00074653 0.00176428]) 	 loss 3.229E-01 	 horizons 19.0
step 19390 	 return [0.00809744 0.01173204 0.01140293], ([0.0008252  0.00104838 0.00160273]) 	 loss 2.751E-01 	 horizons 19.0
step 19580 	 return [0.00805975 0.01212946 0.01123608], ([0.00074215 0.00159917 0.00169908]) 	 loss 3.011E-01 	 horizons 19.0
step 19770 	 return [0.00916435 0.01109645 0.01180442], ([0.00096524 0.00112517 0.00200998]) 	 loss 2.665E-01 	 horizons 19.0
step 19960 	 return [0.00848204 0.01122097 0.01158143], ([0.00103065 0.00136338 0.0013526 ]) 	 loss 2.794E-01 	 horizons 19.0
step 20150 	 return [0.00882961 0.0097318  0.01093525], ([0.00173113 0.0032409  0.00385862]) 	 loss 2.988E-01 	 horizons 19.0
step 20340 	 return [0.00808923 0.01246713 0.01054851], ([0.00082382 0.00134058 0.00212601]) 	 loss 2.685E-01 	 horizons 19.0
step 20530 	 return [0.0080143  0.01200001 0.01146691], ([0.00036041 0.0014006  0.00167593]) 	 loss 2.737E-01 	 horizons 19.0
step 20720 	 return [0.00812384 0.01123091 0.01142291], ([0.00116661 0.00130102 0.00155758]) 	 loss 2.695E-01 	 horizons 19.0
step 20910 	 return [0.00915578 0.01039637 0.01231917], ([0.00091377 0.00105672 0.00137784]) 	 loss 2.737E-01 	 horizons 19.0
step 21100 	 return [0.00963305 0.01123403 0.0116694 ], ([0.00088537 0.00119535 0.00193928]) 	 loss 2.430E-01 	 horizons 19.0
step 21290 	 return [0.0098207  0.01038652 0.012231  ], ([0.00058579 0.00091324 0.00166818]) 	 loss 2.140E-01 	 horizons 19.0
step 21480 	 return [0.0094176  0.01063956 0.01271068], ([0.0007407  0.00087984 0.00062645]) 	 loss 2.231E-01 	 horizons 19.0
step 21670 	 return [0.00885581 0.01178547 0.01060339], ([0.00089314 0.00099803 0.00166626]) 	 loss 1.962E-01 	 horizons 19.0
step 21860 	 return [0.00952267 0.01080104 0.01226929], ([0.00082707 0.00106711 0.00125031]) 	 loss 2.050E-01 	 horizons 19.0
step 22050 	 return [0.00951577 0.0101977  0.01264172], ([0.00080526 0.00081881 0.00083803]) 	 loss 1.822E-01 	 horizons 19.0
step 22240 	 return [0.00959051 0.01016489 0.01271435], ([0.00059897 0.00074468 0.00079112]) 	 loss 1.800E-01 	 horizons 19.0
step 22430 	 return [0.00823505 0.01197455 0.01105031], ([0.00159784 0.00110819 0.00117398]) 	 loss 1.878E-01 	 horizons 19.0
step 22620 	 return [0.00968237 0.00992042 0.01308508], ([0.00059458 0.00045894 0.00014226]) 	 loss 1.905E-01 	 horizons 19.0
step 22810 	 return [0.00954692 0.01012317 0.01260032], ([0.00064074 0.0010096  0.00139775]) 	 loss 1.740E-01 	 horizons 19.0
step 23000 	 return [0.00986745 0.01140005 0.01067511], ([0.00080579 0.00149105 0.00228145]) 	 loss 1.870E-01 	 horizons 19.0
step 23190 	 return [0.00967796 0.01009888 0.01298257], ([0.00042631 0.00033292 0.00016334]) 	 loss 1.510E-01 	 horizons 19.0
