step 24929 	 return [0.0053184  0.01385763 0.00688673 0.01830876 0.00994841], ([0.00041329 0.00237495 0.00161381 0.00173865 0.00048028]) 	 loss 4.958E-02 	 horizons 19.0
step 25119 	 return [0.0044798  0.0149764  0.00759944 0.01894595 0.00992991], ([0.00034807 0.00130827 0.00074475 0.00093859 0.00019736]) 	 loss 4.419E-02 	 horizons 19.0
step 25309 	 return [0.00551452 0.01555399 0.00598927 0.01944996 0.00990159], ([3.0734078e-05 3.6501611e-04 5.2965316e-04 7.0108642e-04 2.0956408e-04]) 	 loss 6.033E-02 	 horizons 19.0
step 25499 	 return [0.00425631 0.00838746 0.01167417 0.0133566  0.01122563], ([3.8994807e-05 1.4706097e-03 4.0939526e-04 4.9990002e-04 5.0063006e-04]) 	 loss 4.422E-02 	 horizons 19.0
step 25689 	 return [0.00438607 0.01537043 0.0077873  0.01978437 0.01003516], ([0.00010793 0.00180238 0.00108239 0.00062904 0.00023287]) 	 loss 4.259E-02 	 horizons 19.0
step 25879 	 return [0.00553719 0.01493321 0.00608849 0.01978721 0.00999383], ([0.00010297 0.00197608 0.00048338 0.00015722 0.00033221]) 	 loss 3.903E-02 	 horizons 19.0
step 26069 	 return [0.00434654 0.01335343 0.00947504 0.01852622 0.00971838], ([1.9141498e-05 2.1181412e-03 7.7830040e-04 8.6855801e-04 1.8974242e-04]) 	 loss 4.818E-02 	 horizons 19.0
step 26259 	 return [0.00428068 0.00919314 0.01133004 0.01414025 0.01151205], ([0.00012322 0.00076351 0.0007029  0.0009881  0.00113439]) 	 loss 4.626E-02 	 horizons 19.0
step 26449 	 return [0.0043546  0.01453374 0.00891231 0.01808025 0.00977789], ([1.6216791e-05 6.6057162e-04 7.4167928e-04 5.9515989e-04 1.3811089e-04]) 	 loss 5.274E-02 	 horizons 19.0
step 26639 	 return [0.00522622 0.00747938 0.01079104 0.01283801 0.01077815], ([0.00034801 0.00206487 0.00085453 0.00147977 0.00080982]) 	 loss 4.951E-02 	 horizons 19.0
step 26829 	 return [0.00540917 0.00835569 0.00878953 0.0178265  0.01136762], ([0.00026416 0.00143673 0.00118355 0.00207485 0.00055684]) 	 loss 6.185E-02 	 horizons 19.0
