step 8910 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.020E-02 	 horizons 9.0
step 9000 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.008E-02 	 horizons 9.0
step 9090 	 return [0.0022763  0.00598183 0.00374763 0.00198118 0.        ], ([1.3235529e-04 2.0762702e-04 5.1199464e-07 2.7667275e-07 0.0000000e+00]) 	 loss 9.265E-03 	 horizons 9.0
step 9180 	 return [0.00262924 0.00542816 0.00374626 0.00198044 0.        ], ([1.3235529e-04 2.0762702e-04 5.1199464e-07 2.7667267e-07 0.0000000e+00]) 	 loss 9.520E-03 	 horizons 9.0
step 9270 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 8.883E-03 	 horizons 9.0
step 9360 	 return [0.00262924 0.00542816 0.00374626 0.00198044 0.        ], ([1.3235529e-04 2.0762702e-04 5.1199464e-07 2.7667267e-07 0.0000000e+00]) 	 loss 8.942E-03 	 horizons 9.0
step 9450 	 return [0.00240865 0.00577421 0.00374711 0.0019809  0.        ], ([2.1613526e-04 3.3905348e-04 8.3608364e-07 4.5180457e-07 0.0000000e+00]) 	 loss 8.897E-03 	 horizons 9.0
step 9540 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.108E-02 	 horizons 9.0
step 9630 	 return [0.00262924 0.00542816 0.00374626 0.00198044 0.        ], ([1.3235529e-04 2.0762699e-04 5.1199464e-07 2.7667278e-07 0.0000000e+00]) 	 loss 6.017E-03 	 horizons 9.0
step 9720 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 5.819E-03 	 horizons 9.0
step 9810 	 return [0.         0.         0.00612718 0.00599776 0.00794792], ([0.0000000e+00 0.0000000e+00 2.0307489e-05 9.0816594e-04 2.0056566e-04]) 	 loss 5.614E-03 	 horizons 9.0
step 9900 	 return [0.00229398 0.00732593 0.00270922 0.00217492 0.        ], ([1.2646191e-04 6.5566070e-04 3.4562370e-04 6.4855114e-05 0.0000000e+00]) 	 loss 2.243E-02 	 horizons 9.0
step 9990 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 8.433E-03 	 horizons 9.0
step 10080 	 return [0.00267336 0.00535895 0.00374609 0.00198035 0.        ], ([0.0000000e+00 4.6566129e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 5.446E-03 	 horizons 9.0
step 10170 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 4.621E-03 	 horizons 9.0
step 10260 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 4.075E-03 	 horizons 9.0
step 10350 	 return [0.00240865 0.00577421 0.00374712 0.0019809  0.        ], ([2.1613526e-04 3.3905348e-04 8.3608376e-07 4.5180457e-07 0.0000000e+00]) 	 loss 3.475E-03 	 horizons 9.0
step 10440 	 return [0.00258709 0.00564671 0.00363105 0.00200206 0.        ], ([1.7260069e-04 6.6539331e-04 3.4568092e-04 6.4824962e-05 0.0000000e+00]) 	 loss 4.109E-03 	 horizons 9.0
step 10530 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 3.701E-03 	 horizons 9.0
step 10620 	 return [0.00269644 0.00680803 0.00259108 0.00219244 0.        ], ([1.8271432e-05 1.3038237e-04 4.2483211e-06 6.3369985e-06 0.0000000e+00]) 	 loss 3.005E-03 	 horizons 9.0
step 10710 	 return [0.00234257 0.00741023 0.00259385 0.00219635 0.        ], ([1.8150276e-04 2.6850851e-04 3.2363459e-07 3.6889688e-07 0.0000000e+00]) 	 loss 1.663E-02 	 horizons 9.0
step 10800 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 3.569E-03 	 horizons 9.0
step 10890 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 2.797E-03 	 horizons 9.0
step 10980 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 2.511E-03 	 horizons 9.0
step 11070 	 return [0.00267336 0.00535895 0.00374609 0.00198035 0.        ], ([0.0000000e+00 4.6566129e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 2.131E-03 	 horizons 9.0
step 11160 	 return [0.0022763  0.00598183 0.00374763 0.00198118 0.        ], ([1.3235529e-04 2.0762699e-04 5.1199464e-07 2.7667275e-07 0.0000000e+00]) 	 loss 2.242E-03 	 horizons 9.0
step 11250 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 2.073E-03 	 horizons 9.0
step 11340 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 1.973E-03 	 horizons 9.0
step 11430 	 return [0.00250475 0.00623317 0.00328526 0.00206682 0.        ], ([0.00020651 0.00107069 0.0005644  0.00010591 0.        ]) 	 loss 1.644E-03 	 horizons 9.0
step 11520 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.588E-03 	 horizons 9.0
step 11610 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.614E-03 	 horizons 9.0
step 11700 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 1.594E-03 	 horizons 9.0
step 11790 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 1.363E-03 	 horizons 9.0
step 11880 	 return [0.00229398 0.00732593 0.00270922 0.00217492 0.        ], ([1.2646191e-04 6.5566070e-04 3.4562364e-04 6.4855121e-05 0.0000000e+00]) 	 loss 1.359E-03 	 horizons 9.0
step 11970 	 return [0.0022763  0.00598183 0.00374763 0.00198118 0.        ], ([1.3235527e-04 2.0762700e-04 5.1199504e-07 2.7667275e-07 0.0000000e+00]) 	 loss 1.214E-03 	 horizons 9.0
step 12060 	 return [0.00252408 0.00714173 0.00259353 0.00219598 0.        ], ([2.2229458e-04 3.2885440e-04 3.9636981e-07 4.5180457e-07 0.0000000e+00]) 	 loss 1.279E-03 	 horizons 9.0
step 12150 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 1.312E-03 	 horizons 9.0
step 12240 	 return [0.         0.         0.00614749 0.00690593 0.00814849], ([0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10 9.313226e-10]) 	 loss 1.123E-03 	 horizons 9.0
step 12330 	 return [0.0022972  0.00747736 0.00259393 0.00219644 0.        ], ([1.3612706e-04 2.0138138e-04 2.4272597e-07 2.7667267e-07 0.0000000e+00]) 	 loss 9.533E-04 	 horizons 9.0
step 12420 	 return [0.00223218 0.00605104 0.0037478  0.00198127 0.        ], ([0.0000000e+00 4.6566129e-10 4.6566129e-10 2.3283064e-10 0.0000000e+00]) 	 loss 8.906E-04 	 horizons 9.0
step 12510 	 return [0.00284945 0.00653495 0.00258845 0.00218918 0.        ], ([2.8773546e-04 6.7653670e-04 9.5142050e-06 1.2859981e-05 0.0000000e+00]) 	 loss 8.800E-04 	 horizons 9.0
