step 22521 	 return [0.00934533 0.01117035 0.0106614 ], ([0.00082009 0.00161204 0.00080921]) 	 loss 1.857E-01 	 horizons 19.0
step 22711 	 return [0.00692727 0.01067088 0.01167586], ([0.00184371 0.0005265  0.00288104]) 	 loss 1.858E-01 	 horizons 19.0
step 22901 	 return [0.01034902 0.01327602 0.00912801], ([0.0005516  0.00101217 0.00045265]) 	 loss 1.592E-01 	 horizons 19.0
step 23091 	 return [0.00971233 0.01234462 0.00801932], ([0.00053069 0.00094897 0.00100177]) 	 loss 1.472E-01 	 horizons 19.0
step 23281 	 return [0.01017919 0.01269264 0.00952506], ([0.00077768 0.00144411 0.00088642]) 	 loss 1.513E-01 	 horizons 19.0
step 23471 	 return [0.01022203 0.01344212 0.00869165], ([0.00077231 0.00083367 0.00123436]) 	 loss 1.642E-01 	 horizons 19.0
step 23661 	 return [0.01072937 0.0140912  0.00903441], ([3.2334032e-05 5.2254519e-04 3.0985106e-05]) 	 loss 1.615E-01 	 horizons 19.0
step 23851 	 return [0.01055344 0.01346374 0.00935098], ([0.00026279 0.00117797 0.0007417 ]) 	 loss 1.703E-01 	 horizons 19.0
step 24041 	 return [0.01069238 0.01408211 0.00973437], ([0.00019174 0.00066199 0.00107757]) 	 loss 1.534E-01 	 horizons 19.0
step 24231 	 return [0.00716609 0.01108088 0.01207197], ([0.00073265 0.00094211 0.00147377]) 	 loss 1.550E-01 	 horizons 19.0
step 24421 	 return [0.0082278 0.0123774 0.0113583], ([0.00063397 0.00111095 0.00333463]) 	 loss 1.643E-01 	 horizons 19.0
step 24611 	 return [0.01070946 0.01433737 0.00928032], ([9.2092530e-05 2.1596113e-04 7.0675986e-04]) 	 loss 1.476E-01 	 horizons 19.0
step 24801 	 return [0.00938321 0.01343845 0.01123431], ([0.00083466 0.00134229 0.00139137]) 	 loss 1.163E-01 	 horizons 19.0
step 24991 	 return [0.01055131 0.01395558 0.00972407], ([0.00059709 0.00126874 0.0010427 ]) 	 loss 1.321E-01 	 horizons 19.0
step 25181 	 return [0.01060469 0.0143722  0.00987467], ([0.00026622 0.00047685 0.00106289]) 	 loss 1.083E-01 	 horizons 19.0
step 25371 	 return [0.00889504 0.01261877 0.01173476], ([0.00101943 0.00090592 0.00095135]) 	 loss 9.207E-02 	 horizons 19.0
step 25561 	 return [0.00880278 0.01271777 0.01171406], ([0.00085923 0.00093315 0.00093197]) 	 loss 1.023E-01 	 horizons 19.0
step 25751 	 return [0.00939003 0.01284621 0.0113774 ], ([0.00096925 0.00100641 0.00079347]) 	 loss 1.223E-01 	 horizons 19.0
step 25941 	 return [0.01054032 0.01380551 0.00917776], ([0.00056447 0.00095295 0.00043459]) 	 loss 9.853E-02 	 horizons 19.0
step 26131 	 return [0.01074843 0.01439573 0.01070954], ([0.00035085 0.00041225 0.0010913 ]) 	 loss 1.125E-01 	 horizons 19.0
step 26321 	 return [0.01074015 0.01426539 0.00904474], ([9.3132257e-10 1.8626451e-09 9.3132257e-10]) 	 loss 1.005E-01 	 horizons 19.0
step 26511 	 return [0.01075514 0.01464999 0.0109601 ], ([0.00029142 0.00028761 0.00095829]) 	 loss 9.692E-02 	 horizons 19.0
step 26701 	 return [0.0092062  0.01254593 0.01140548], ([0.00080514 0.00122237 0.00120434]) 	 loss 8.191E-02 	 horizons 19.0
step 26891 	 return [0.01010213 0.01456175 0.01043349], ([0.00042963 0.00048298 0.00104559]) 	 loss 7.373E-02 	 horizons 19.0
step 27081 	 return [0.01062485 0.01474564 0.01094476], ([0.00025879 0.00030326 0.00095048]) 	 loss 6.931E-02 	 horizons 19.0
step 27271 	 return [0.01026417 0.01443114 0.01149077], ([0.00069871 0.00122636 0.00067773]) 	 loss 6.277E-02 	 horizons 19.0
step 27461 	 return [0.01042811 0.01473029 0.01092499], ([0.00051616 0.00022373 0.00099037]) 	 loss 6.332E-02 	 horizons 19.0
step 27651 	 return [0.00855169 0.01311978 0.01194413], ([0.00077329 0.00083449 0.00091348]) 	 loss 5.568E-02 	 horizons 19.0
step 27841 	 return [0.0079935  0.01171625 0.01196237], ([0.00098953 0.00124427 0.00355571]) 	 loss 5.946E-02 	 horizons 19.0
step 28031 	 return [0.01050157 0.01477736 0.01116734], ([0.00042251 0.00019907 0.00072672]) 	 loss 5.771E-02 	 horizons 19.0
step 28221 	 return [0.01095056 0.01450652 0.0109831 ], ([0.00021954 0.00018587 0.00096945]) 	 loss 5.906E-02 	 horizons 19.0
step 28411 	 return [0.01043318 0.01498525 0.0114006 ], ([9.313226e-10 9.313226e-10 9.313226e-10]) 	 loss 4.302E-02 	 horizons 19.0
step 28601 	 return [0.00794856 0.01341633 0.01248534], ([0.00036062 0.00048431 0.00062205]) 	 loss 4.207E-02 	 horizons 19.0
step 28791 	 return [0.0108716  0.01455963 0.01121092], ([0.00037087 0.00018525 0.00072371]) 	 loss 5.109E-02 	 horizons 19.0
step 28981 	 return [0.01068716 0.01479256 0.01133081], ([0.00032505 0.00023317 0.0003137 ]) 	 loss 4.738E-02 	 horizons 19.0
step 29171 	 return [0.01043554 0.01476626 0.01139255], ([4.6955392e-04 1.8684528e-04 6.4103566e-05]) 	 loss 4.885E-02 	 horizons 19.0
step 29361 	 return [0.01072749 0.01466055 0.01143108], ([4.6322145e-04 1.9728011e-04 6.1672508e-05]) 	 loss 4.895E-02 	 horizons 19.0
step 29551 	 return [0.01046693 0.01485184 0.01140041], ([3.6100013e-04 1.8727606e-04 4.8794700e-05]) 	 loss 5.277E-02 	 horizons 19.0
step 29741 	 return [0.01077576 0.01467944 0.01143884], ([4.0067124e-04 2.1739332e-04 5.1646999e-05]) 	 loss 4.665E-02 	 horizons 19.0
step 29931 	 return [0.01050925 0.01477419 0.01140068], ([3.2934855e-04 3.6660713e-04 5.9198137e-05]) 	 loss 4.187E-02 	 horizons 19.0
step 30121 	 return [0.01097118 0.01453597 0.01146184], ([3.4022232e-04 8.6816945e-05 4.6290184e-05]) 	 loss 4.743E-02 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatiotemporal__42__1781487941[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kh0lcdnj[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034542-kh0lcdnj/logs[0m
