/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run h81euxqv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-h81euxqv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/h81euxqv
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-h81euxqv-evalfront--an8fQ" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 24540 	 return [0.00803033 0.01152717 0.01256041], ([0.00131843 0.00122288 0.00105134]) 	 loss 1.558E-01 	 horizons 19.0
step 24730 	 return [0.00949983 0.01522331 0.00631336], ([0.00033833 0.00065505 0.00097132]) 	 loss 1.594E-01 	 horizons 19.0
step 24920 	 return [0.00690495 0.01100333 0.01310244], ([0.00105898 0.00070946 0.00093468]) 	 loss 1.461E-01 	 horizons 19.0
step 25110 	 return [0.01272141 0.01055691 0.00200407], ([0.00060149 0.00088888 0.00070644]) 	 loss 1.625E-01 	 horizons 19.0
step 25300 	 return [0.00888324 0.01265664 0.0119031 ], ([0.00103538 0.0007018  0.00131852]) 	 loss 1.543E-01 	 horizons 19.0
step 25490 	 return [0.00723708 0.01195013 0.01321259], ([0.00090603 0.00073418 0.00131445]) 	 loss 1.474E-01 	 horizons 19.0
step 25680 	 return [0.00952896 0.01397907 0.00896473], ([4.3745928e-05 6.4770156e-04 8.6219260e-04]) 	 loss 1.467E-01 	 horizons 19.0
step 25870 	 return [0.01255402 0.01110548 0.00177971], ([0.00054515 0.00051794 0.0001142 ]) 	 loss 1.296E-01 	 horizons 19.0
step 26060 	 return [0.00886933 0.01245433 0.01134847], ([0.00120086 0.00076154 0.00151011]) 	 loss 1.180E-01 	 horizons 19.0
step 26250 	 return [0.00809697 0.01000379 0.01300698], ([0.00115705 0.00109022 0.00108563]) 	 loss 1.250E-01 	 horizons 19.0
step 26440 	 return [0.01008796 0.01209742 0.01185519], ([0.00084553 0.00142066 0.00160775]) 	 loss 1.454E-01 	 horizons 19.0
step 26630 	 return [0.0123336  0.01056971 0.00241447], ([0.00046818 0.00096086 0.00100784]) 	 loss 1.235E-01 	 horizons 19.0
step 26820 	 return [0.00715901 0.0136476  0.01113861], ([0.00053335 0.0011466  0.00151281]) 	 loss 1.107E-01 	 horizons 19.0
step 27010 	 return [0.00939624 0.01562981 0.00541309], ([1.38832252e-06 2.10237966e-04 1.06240346e-04]) 	 loss 1.174E-01 	 horizons 19.0
step 27200 	 return [0.01034064 0.01093929 0.01277789], ([0.00093712 0.00101688 0.00038048]) 	 loss 1.123E-01 	 horizons 19.0
step 27390 	 return [0.00794854 0.01413366 0.01124227], ([0.00109571 0.00108683 0.00115583]) 	 loss 1.068E-01 	 horizons 19.0
step 27580 	 return [0.01203066 0.00978922 0.00397593], ([4.6265070e-04 6.6672266e-04 7.6776872e-05]) 	 loss 9.323E-02 	 horizons 19.0
step 27770 	 return [0.01279496 0.01088819 0.00181689], ([4.2267266e-04 5.4217398e-04 3.5821538e-06]) 	 loss 1.060E-01 	 horizons 19.0
step 27960 	 return [0.0078325  0.01605537 0.00712232], ([0.00103923 0.00055853 0.00097686]) 	 loss 1.067E-01 	 horizons 19.0
step 28150 	 return [0.0064544  0.01137703 0.0137938 ], ([0.00100779 0.00062641 0.00094303]) 	 loss 8.429E-02 	 horizons 19.0
step 28340 	 return [0.00643455 0.01145917 0.01403975], ([0.00113467 0.00037961 0.00052796]) 	 loss 9.477E-02 	 horizons 19.0
step 28530 	 return [0.00954916 0.01438924 0.0090849 ], ([2.6156338e-05 5.5811630e-04 1.1089103e-03]) 	 loss 9.866E-02 	 horizons 19.0
