/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yo8kts51
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-yo8kts51
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/yo8kts51
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 19622 	 return [0.0093727  0.01120295 0.00673693 0.00763454 0.00441946], ([0.00203521 0.00152254 0.00070224 0.00077818 0.00167287]) 	 loss 2.270E-01 	 horizons 19.0
step 19812 	 return [0.00312414 0.0103234  0.01198081 0.01246138 0.00642663], ([0.0003836  0.00182475 0.00084053 0.00163867 0.00136051]) 	 loss 2.362E-01 	 horizons 19.0
step 20002 	 return [0.0132491  0.00466567 0.00265757 0.00018736 0.        ], ([6.2504219e-04 9.5316362e-05 9.1698916e-05 5.6209130e-04 0.0000000e+00]) 	 loss 2.232E-01 	 horizons 19.0
step 20192 	 return [0.00434382 0.01160814 0.00880387 0.01679832 0.00595808], ([0.00044835 0.00182326 0.00111087 0.00140254 0.0017721 ]) 	 loss 2.137E-01 	 horizons 19.0
step 20382 	 return [0.00402068 0.00992487 0.0114975  0.00859955 0.00497367], ([0.00125145 0.00123419 0.00194277 0.00174716 0.0041099 ]) 	 loss 1.942E-01 	 horizons 19.0
step 20572 	 return [0.00301827 0.00918639 0.00909729 0.01175235 0.00912514], ([0.00040395 0.00095894 0.00038333 0.00166467 0.00115064]) 	 loss 2.120E-01 	 horizons 19.0
step 20762 	 return [4.0826275e-05 1.2427641e-02 1.1575070e-02 1.3243017e-02 7.8670569e-03], ([0.00012248 0.0016301  0.00089432 0.0017695  0.0025574 ]) 	 loss 2.157E-01 	 horizons 19.0
step 20952 	 return [0.01209167 0.0047565  0.00316374 0.00085678 0.        ], ([0.0020882  0.00036217 0.0008018  0.00117156 0.        ]) 	 loss 2.194E-01 	 horizons 19.0
step 21142 	 return [0.01214156 0.00445338 0.00314613 0.00037473 0.        ], ([0.00071718 0.00043597 0.00071737 0.00074946 0.        ]) 	 loss 2.109E-01 	 horizons 19.0
step 21332 	 return [0.00279818 0.01528334 0.00835868 0.01241807 0.00484952], ([7.3333635e-05 7.2489178e-04 1.0629130e-03 1.7803541e-03 3.3354918e-03]) 	 loss 2.059E-01 	 horizons 19.0
step 21522 	 return [0.00542266 0.00465774 0.01029796 0.01289997 0.00623574], ([0.00018489 0.00147074 0.00163505 0.00145364 0.00259465]) 	 loss 2.161E-01 	 horizons 19.0
step 21712 	 return [0.0039081  0.00949588 0.01011089 0.0117493  0.00749811], ([0.00055544 0.00152727 0.00093701 0.00254226 0.0014041 ]) 	 loss 2.116E-01 	 horizons 19.0
step 21902 	 return [0.0041696  0.00842016 0.00823467 0.01350853 0.00973707], ([5.5294084e-05 4.2762142e-04 9.1018865e-04 1.0729753e-03 1.7945026e-03]) 	 loss 1.945E-01 	 horizons 19.0
step 22092 	 return [0.00444858 0.00834849 0.0093889  0.01189329 0.00880967], ([0.00044301 0.00065263 0.00068401 0.00107281 0.00137358]) 	 loss 2.612E-01 	 horizons 19.0
