/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 4l15ebrn
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-4l15ebrn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__789__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/4l15ebrn
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-4l15ebrn-evalfront-V8yGVg" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 14101 	 return [0.00809671 0.01234039 0.00937526], ([0.00107349 0.00096785 0.00122039]) 	 loss 4.406E-01 	 horizons 19.0
step 14291 	 return [0.00738256 0.01221803 0.00969418], ([0.00070661 0.00119306 0.00162155]) 	 loss 4.285E-01 	 horizons 19.0
step 14481 	 return [0.00840442 0.01275512 0.00863639], ([0.00105941 0.00160762 0.00130006]) 	 loss 3.914E-01 	 horizons 19.0
step 14671 	 return [0.00738282 0.01242644 0.01010215], ([0.00048776 0.00113884 0.00090554]) 	 loss 3.877E-01 	 horizons 19.0
step 14861 	 return [0.00825441 0.0123812  0.0088273 ], ([0.00087609 0.00135613 0.00131617]) 	 loss 3.916E-01 	 horizons 19.0
step 15051 	 return [0.00828349 0.0124344  0.00920396], ([0.00101289 0.00087107 0.00149694]) 	 loss 3.774E-01 	 horizons 19.0
step 15241 	 return [0.00771741 0.0128426  0.00969544], ([0.00090838 0.00130806 0.00183975]) 	 loss 3.771E-01 	 horizons 19.0
step 15431 	 return [0.0078392  0.01309133 0.01034636], ([0.00080419 0.0011131  0.00136359]) 	 loss 3.686E-01 	 horizons 19.0
step 15621 	 return [0.00848672 0.01132445 0.00805684], ([0.00139518 0.00137573 0.00383379]) 	 loss 3.541E-01 	 horizons 19.0
step 15811 	 return [0.00800304 0.01241956 0.00905659], ([0.00093921 0.00093026 0.00147178]) 	 loss 3.424E-01 	 horizons 19.0
step 16001 	 return [0.00916184 0.01286223 0.01003845], ([0.00070384 0.00131536 0.00235242]) 	 loss 3.658E-01 	 horizons 19.0
step 16191 	 return [0.00906962 0.01285457 0.0086621 ], ([0.00068261 0.00126822 0.00200186]) 	 loss 3.594E-01 	 horizons 19.0
step 16381 	 return [0.00770334 0.01309027 0.01018998], ([0.00088093 0.00103676 0.00108666]) 	 loss 3.229E-01 	 horizons 19.0
step 16571 	 return [0.00930635 0.00984954 0.00575149], ([0.00198051 0.00183887 0.0023607 ]) 	 loss 3.253E-01 	 horizons 19.0
step 16761 	 return [0.0079668  0.01169027 0.01057391], ([0.00140344 0.00091797 0.00262961]) 	 loss 3.469E-01 	 horizons 19.0
step 16951 	 return [0.00912184 0.01297745 0.00917231], ([0.00072217 0.00116639 0.00240538]) 	 loss 3.121E-01 	 horizons 19.0
step 17141 	 return [0.0083068  0.01258533 0.01200596], ([0.00083548 0.00122094 0.00133801]) 	 loss 3.112E-01 	 horizons 19.0
step 17331 	 return [0.00957715 0.01317813 0.00715462], ([0.00037887 0.00079844 0.00155249]) 	 loss 2.967E-01 	 horizons 19.0
step 17521 	 return [0.00935244 0.01186145 0.00769482], ([0.00171245 0.00143216 0.00228834]) 	 loss 3.046E-01 	 horizons 19.0
step 17711 	 return [0.00901743 0.01195632 0.00792385], ([0.00110214 0.00205905 0.00105593]) 	 loss 2.715E-01 	 horizons 19.0
step 17901 	 return [0.00898996 0.0118345  0.01077658], ([0.00049145 0.00111001 0.00174   ]) 	 loss 2.855E-01 	 horizons 19.0
step 18091 	 return [0.00933008 0.01250864 0.00909073], ([0.00032412 0.00157041 0.00234574]) 	 loss 2.774E-01 	 horizons 19.0
step 18281 	 return [0.00996216 0.01143573 0.00658991], ([0.00104326 0.00200191 0.00191358]) 	 loss 2.622E-01 	 horizons 19.0
step 18471 	 return [0.00895181 0.01288293 0.00992209], ([0.00086381 0.00159072 0.00211439]) 	 loss 2.668E-01 	 horizons 19.0
step 18661 	 return [0.00937704 0.01216983 0.01092944], ([0.00054419 0.00127727 0.00229455]) 	 loss 2.452E-01 	 horizons 19.0
step 18851 	 return [0.00866122 0.01193739 0.01177992], ([0.00084932 0.00123334 0.00117926]) 	 loss 2.752E-01 	 horizons 19.0
step 19041 	 return [0.00966703 0.01382843 0.00759257], ([0.00046394 0.00118183 0.00112753]) 	 loss 2.325E-01 	 horizons 19.0
step 19231 	 return [0.00952041 0.01303323 0.00908292], ([0.00044415 0.0008715  0.0021327 ]) 	 loss 2.629E-01 	 horizons 19.0
step 19421 	 return [0.01089294 0.0103964  0.00518655], ([0.00115927 0.00175919 0.00219464]) 	 loss 2.108E-01 	 horizons 19.0
step 19611 	 return [0.01110665 0.0101725  0.00438459], ([0.00111834 0.00152326 0.00131873]) 	 loss 2.167E-01 	 horizons 19.0
step 19801 	 return [0.00934496 0.01363948 0.00763992], ([0.00030003 0.0008736  0.000791  ]) 	 loss 2.101E-01 	 horizons 19.0
step 19991 	 return [0.01085215 0.00992699 0.00529326], ([0.00073635 0.00152672 0.00182861]) 	 loss 2.067E-01 	 horizons 19.0
