step 15578 	 return [0.00249844 0.00512548 0.01153277 0.00600428 0.00929138], ([0.0017876  0.00115749 0.00142022 0.00226481 0.00171916]) 	 loss 3.580E-01 	 horizons 19.0
step 15768 	 return [0.00456074 0.00792288 0.01013753 0.00726451 0.00673682], ([0.00074881 0.00087274 0.001116   0.00158174 0.00244359]) 	 loss 3.243E-01 	 horizons 19.0
step 15958 	 return [0.00443257 0.00963491 0.00993438 0.00541061 0.00736814], ([0.00083924 0.0010842  0.00164845 0.00141756 0.00212719]) 	 loss 3.320E-01 	 horizons 19.0
step 16148 	 return [0.0037592  0.01045953 0.00923278 0.00498723 0.00748866], ([0.00101327 0.00126577 0.00238642 0.00187414 0.00262919]) 	 loss 3.195E-01 	 horizons 19.0
step 16338 	 return [0.00359254 0.01139277 0.01006714 0.00603586 0.00661345], ([0.00090916 0.0009853  0.00178749 0.00213345 0.00214432]) 	 loss 3.237E-01 	 horizons 19.0
step 16528 	 return [0.00440268 0.00746937 0.00906735 0.00573583 0.00965026], ([0.00086754 0.00047928 0.00104682 0.00265349 0.00209046]) 	 loss 3.152E-01 	 horizons 19.0
step 16718 	 return [0.00407881 0.00794031 0.00931221 0.00691393 0.0091974 ], ([0.00093266 0.00087452 0.00190353 0.00280496 0.00213113]) 	 loss 2.994E-01 	 horizons 19.0
step 16908 	 return [0.004414   0.00699967 0.00988643 0.00690798 0.0077225 ], ([0.00083447 0.00111291 0.00176932 0.0029067  0.00241749]) 	 loss 2.777E-01 	 horizons 19.0
step 17098 	 return [0.00325138 0.00475242 0.01133741 0.00827477 0.01041455], ([0.00061772 0.00082856 0.00225243 0.00112557 0.00190495]) 	 loss 3.025E-01 	 horizons 19.0
step 17288 	 return [0.00447841 0.00677469 0.01110033 0.00581505 0.00925107], ([0.00072285 0.00082116 0.00112029 0.00160227 0.00091952]) 	 loss 2.836E-01 	 horizons 19.0
step 17478 	 return [0.00276183 0.00569307 0.01200101 0.00784992 0.00903605], ([0.00153519 0.00092338 0.00134033 0.00274438 0.00133402]) 	 loss 2.701E-01 	 horizons 19.0
step 17668 	 return [0.00251181 0.00607697 0.0127989  0.00539028 0.01013562], ([0.00134862 0.00063216 0.00079256 0.00173686 0.00097377]) 	 loss 2.765E-01 	 horizons 19.0
step 17858 	 return [0.00418572 0.0072764  0.01073561 0.00767315 0.00797859], ([0.00089915 0.00065134 0.00168041 0.00272006 0.00225575]) 	 loss 2.727E-01 	 horizons 19.0
step 18048 	 return [0.00402779 0.01184326 0.00996652 0.0055262  0.00596836], ([0.0009984  0.00119807 0.00152537 0.00181124 0.00231395]) 	 loss 2.674E-01 	 horizons 19.0
step 18238 	 return [0.00421847 0.00835584 0.01018569 0.00538225 0.00910155], ([0.00086776 0.00094542 0.00148702 0.00171146 0.00141212]) 	 loss 2.649E-01 	 horizons 19.0
step 18428 	 return [0.00309576 0.00577372 0.01340132 0.00741425 0.00690788], ([0.00048016 0.00088463 0.00109016 0.00150844 0.00213804]) 	 loss 2.869E-01 	 horizons 19.0
